alpha,D,L,rho,rho_star,lambda,Delta,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,test_err_mean_noise,test_err_std_noise,_alpha,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean
0.005,100.0,2.0,1.0,0.5,0.01,0.0,1.5274812491814391,0.011626446023578,1414.464485168457,45.32694930107595,2.413501851260662,5.180513471364975,7.594015322625637,0.6523786717047717,1414.464485168457,45.32694930107595,0.005,1.5274812491814391,0.011626446023578,0.7072322425842286,0.022663474650537974,2.413501851260662,5.180513471364975,7.594015322625637
0.020794,100.0,2.0,1.0,0.5,0.01,0.0,1.5107890281910494,0.0173542172636467,1393.9863014221191,41.14897981539008,2.0521145090460777,11.409067541360857,13.461182050406933,0.3005580795212842,1393.9863014221191,41.14897981539008,0.020794,1.5107890281910494,0.0173542172636467,0.6969931507110596,0.02057448990769504,2.0521145090460777,11.409067541360857,13.461182050406933
0.036587,100.0,2.0,1.0,0.5,0.01,0.0,1.1916737354618394,0.0189532584335256,1229.2422676086426,31.62193158961031,2.3840901851654053,15.535959869623184,17.92005005478859,0.2653195959198527,1229.2422676086426,31.62193158961031,0.036587,1.1916737354618394,0.0189532584335256,0.6146211338043213,0.015810965794805155,2.3840901851654053,15.535959869623184,17.92005005478859
0.0523809523809523,100.0,2.0,1.0,0.5,0.01,0.0,1.2171184644606317,0.0168168312492557,1137.8480644226074,33.93463723290862,2.9009354189038277,19.666292250156403,22.56722766906023,0.2990164690856741,1137.8480644226074,33.93463723290862,0.0523809523809523,1.2171184644606317,0.0168168312492557,0.5689240322113037,0.01696731861645431,2.9009354189038277,19.666292250156403,22.56722766906023
0.0681746031746031,100.0,2.0,1.0,0.5,0.01,0.0,1.0902226611143568,0.01799051898077,1035.3471298217771,37.7805697228435,3.265528880059719,22.914124131202698,26.179653011262417,0.2638268118298563,1035.3471298217771,37.7805697228435,0.0681746031746031,1.0902226611143568,0.01799051898077,0.5176735649108886,0.01889028486142175,3.265528880059719,22.914124131202698,26.179653011262417
0.0839682539682539,100.0,2.0,1.0,0.5,0.01,0.0,0.9218248730249944,0.014653762088173,893.2916011810303,25.74021024439404,3.5627813041210175,25.74746537208557,29.31024667620659,0.2845606770955136,893.2916011810303,25.74021024439404,0.0839682539682539,0.9218248730249944,0.014653762088173,0.4466458005905151,0.01287010512219702,3.5627813041210175,25.74746537208557,29.31024667620659
0.0997619047619047,100.0,2.0,1.0,0.5,0.01,0.0,0.8298950264484584,0.017760102381411,785.2912006378174,26.595752290299835,3.9170713499188423,28.60869997739792,32.52577132731676,0.3480759111940068,785.2912006378174,26.595752290299835,0.0997619047619047,0.8298950264484584,0.017760102381411,0.3926456003189087,0.013297876145149918,3.9170713499188423,28.60869997739792,32.52577132731676
0.115556,100.0,2.0,1.0,0.5,0.01,0.0,0.7688292873109861,0.0145277371829109,691.5760231018066,28.09403743058383,4.242723494768143,31.311624109745026,35.55434760451317,0.4118684428587834,691.5760231018066,28.09403743058383,0.115556,0.7688292873109861,0.0145277371829109,0.34578801155090333,0.014047018715291914,4.242723494768143,31.311624109745026,35.55434760451317
0.131349,100.0,2.0,1.0,0.5,0.01,0.0,0.6566317672351184,0.0160422341991735,604.3171329498291,23.464943268604635,4.4692530035972595,33.55044221878052,38.01969522237778,0.282658707113083,604.3171329498291,23.464943268604635,0.131349,0.6566317672351184,0.0160422341991735,0.30215856647491457,0.011732471634302317,4.4692530035972595,33.55044221878052,38.01969522237778
0.1471428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.5561097114203312,0.0119509088802449,509.5703821182251,18.048356324069132,4.648216247558594,35.49146842956543,40.13968467712402,0.278091739960302,509.5703821182251,18.048356324069132,0.1471428571428571,0.5561097114203312,0.0119509088802449,0.25478519105911257,0.009024178162034567,4.648216247558594,35.49146842956543,40.13968467712402
0.162937,100.0,2.0,1.0,0.5,0.01,0.0,0.5215631535751369,0.0120964241160035,458.2288131713867,19.9192027286557,4.910536035895348,37.79835367202759,42.708889707922935,0.4161292436599325,458.2288131713867,19.9192027286557,0.162937,0.5215631535751369,0.0120964241160035,0.22911440658569335,0.009959601364327851,4.910536035895348,37.79835367202759,42.708889707922935
0.1787301587301587,100.0,2.0,1.0,0.5,0.01,0.0,0.4165405216998524,0.0100128403045346,370.9241790771485,14.163673852770687,4.964196607470512,39.15951371192932,44.123710319399834,0.3248385220268919,370.9241790771485,14.163673852770687,0.1787301587301587,0.4165405216998524,0.0100128403045346,0.18546208953857424,0.007081836926385344,4.964196607470512,39.15951371192932,44.123710319399834
0.1945238095238095,100.0,2.0,1.0,0.5,0.01,0.0,0.3746299558184838,0.0087866360304083,319.3393859863281,14.140094560949317,5.166892543435097,41.18769216537475,46.35458470880985,0.2823819255780499,319.3393859863281,14.140094560949317,0.1945238095238095,0.3746299558184838,0.0087866360304083,0.15966969299316405,0.0070700472804746586,5.166892543435097,41.18769216537475,46.35458470880985
0.2103174603174603,100.0,2.0,1.0,0.5,0.01,0.0,0.3565205831718945,0.0073688581181322,298.6197166442871,12.726148172881508,5.4607086181640625,43.54581618309021,49.00652480125427,0.2529386218088678,298.6197166442871,12.726148172881508,0.2103174603174603,0.3565205831718945,0.0073688581181322,0.14930985832214355,0.0063630740864407545,5.4607086181640625,43.54581618309021,49.00652480125427
0.2261111111111111,100.0,2.0,1.0,0.5,0.01,0.0,0.3152282107595704,0.0092587919808067,247.72983121871948,12.504344912245376,5.527689307928085,44.843045115470886,50.37073442339897,0.3800059070820079,247.72983121871948,12.504344912245376,0.2261111111111111,0.3152282107595704,0.0092587919808067,0.12386491560935974,0.006252172456122688,5.527689307928085,44.843045115470886,50.37073442339897
0.2419047619047619,100.0,2.0,1.0,0.5,0.01,0.0,0.2647145455601876,0.0088340857174178,210.6816520690918,10.340753968042282,5.555388614535332,46.05821943283081,51.61360804736614,0.2936916884403507,210.6816520690918,10.340753968042282,0.2419047619047619,0.2647145455601876,0.0088340857174178,0.10534082603454589,0.0051703769840211414,5.555388614535332,46.05821943283081,51.61360804736614
0.257698,100.0,2.0,1.0,0.5,0.01,0.0,0.2696884444397031,0.0081005734017957,193.01450538635257,9.212724881237946,5.854839861392975,48.455968737602234,54.31080859899521,0.3146215606687124,193.01450538635257,9.212724881237946,0.257698,0.2696884444397031,0.0081005734017957,0.09650725269317628,0.004606362440618973,5.854839861392975,48.455968737602234,54.31080859899521
0.2734920634920635,100.0,2.0,1.0,0.5,0.01,0.0,0.1969797310931435,0.0066480661528411,143.09260606765747,8.978457347190986,5.515873417258263,48.29020667076111,53.80608008801937,0.259173264620004,143.09260606765747,8.978457347190986,0.2734920634920635,0.1969797310931435,0.0066480661528411,0.07154630303382874,0.004489228673595493,5.515873417258263,48.29020667076111,53.80608008801937
0.289286,100.0,2.0,1.0,0.5,0.01,0.0,0.1796085947170138,0.0055768829050582,129.2774362564087,6.3837906886211515,5.597883775830269,49.71260106563568,55.31048484146595,0.2331686795224285,129.2774362564087,6.3837906886211515,0.289286,0.1796085947170138,0.0055768829050582,0.06463871812820435,0.003191895344310576,5.597883775830269,49.71260106563568,55.31048484146595
0.305079365079365,100.0,2.0,1.0,0.5,0.01,0.0,0.1455691894535519,0.0048511481210948,98.88892817497252,6.710212109378946,5.411186531186104,50.24019956588745,55.651386097073555,0.2414548250410215,98.88892817497252,6.710212109378946,0.305079365079365,0.1455691894535519,0.0048511481210948,0.04944446408748626,0.003355106054689473,5.411186531186104,50.24019956588745,55.651386097073555
0.320873,100.0,2.0,1.0,0.5,0.01,0.0,0.1329044290242183,0.0045255788876052,86.62660765647888,5.257086551611105,5.455829247832298,51.492257952690125,56.94808720052242,0.2061852341237243,86.62660765647888,5.257086551611105,0.320873,0.1329044290242183,0.0045255788876052,0.04331330382823944,0.0026285432758055526,5.455829247832298,51.492257952690125,56.94808720052242
0.3366666666666666,100.0,2.0,1.0,0.5,0.01,0.0,0.1284784720523176,0.0048686040874858,78.55981588363647,5.264997418627076,5.566551104187965,53.11112999916077,58.67768110334873,0.2658182309354609,78.55981588363647,5.264997418627076,0.3366666666666666,0.1284784720523176,0.0048686040874858,0.03927990794181824,0.002632498709313538,5.566551104187965,53.11112999916077,58.67768110334873
0.3524603174603175,100.0,2.0,1.0,0.5,0.01,0.0,0.1261573219751771,0.0032841831816529,70.98228394985199,4.392546452802093,5.734145298600197,55.14425468444824,60.87839998304844,0.1575818522585097,70.98228394985199,4.392546452802093,0.3524603174603175,0.1261573219751771,0.0032841831816529,0.035491141974926,0.0021962732264010467,5.734145298600197,55.14425468444824,60.87839998304844
0.368254,100.0,2.0,1.0,0.5,0.01,0.0,0.1008959554313932,0.0030442947604429,55.66914224624634,2.9045430275756075,5.422610282897949,55.05402112007141,60.47663140296936,0.1716557960276422,55.66914224624634,2.9045430275756075,0.368254,0.1008959554313932,0.0030442947604429,0.02783457112312317,0.0014522715137878037,5.422610282897949,55.05402112007141,60.47663140296936
