alpha,test_error_mean,test_err_std,loss_mean,loss_std
0.005,0.5079314732551574,0.040372964867886475,0.0001038455294794403,2.032600740239838e-05
0.012857,0.5021214561462402,0.026584870118163885,0.00011701664715074005,5.74752451132681e-06
0.0207142857142857,0.5077813882827759,0.013404128817497408,0.00013124241303885355,3.825165125593811e-06
0.028571,0.47457682561874387,0.015352624848625547,0.00014229258644627408,3.73270591914088e-06
0.036429,0.4654865045547486,0.01440058706063814,0.0001638190743746236,3.0047135914354097e-06
0.044286,0.43995106172561643,0.01392127041318398,0.00017839271913981062,3.06816132145196e-06
0.052143,0.4153703866004944,0.013718046509156055,0.00019550793379312378,3.29561512088786e-06
0.06,0.4003767137527466,0.014276465308012581,0.00021407533023739235,3.3892290390042103e-06
0.067857,0.37802332258224486,0.012732854022935731,0.0002264031951315701,4.02873742420823e-06
0.075714,0.36721207427978514,0.014008060029045713,0.00024689462067326533,3.3241141071571404e-06
0.083571,0.3512406883239746,0.009809646449226503,0.0002611471997457556,3.44151798603543e-06
0.091429,0.33895369672775266,0.009697257505179472,0.00027798952077282593,3.75475999295184e-06
0.099286,0.32543023109436037,0.011658991345825483,0.00029547001883620396,4.76643062748639e-06
0.107143,0.31748012113571167,0.00898508022424862,0.00031272827363573014,4.4670611778412e-06
0.115,0.30943893957138063,0.009406978638593329,0.00032717852990608664,4.86266116194092e-06
0.1228571428571428,0.3011982445716858,0.01143635044032269,0.000347681272495538,5.98798660229945e-06
0.130714,0.29595032119750975,0.010862729559829209,0.00037071644288953396,5.35159426648594e-06
0.138571,0.2990511064529419,0.009810252713558277,0.0003941835812525824,6.1024700248307e-06
0.146429,0.2969533853530884,0.011714807669666115,0.0004190337668638676,7.1848980641761305e-06
0.154286,0.2918405876159668,0.01163012102731479,0.00045193859240971507,1.117965182596265e-05
0.162143,0.3031711950302124,0.009773274346899103,0.0004867627270054072,1.138411613248791e-05
0.17,0.29932543230056763,0.01018143570352661,0.0005239883384667337,1.386809074633859e-05
0.177857,0.31891861248016357,0.012672815948869365,0.0005961518321186305,2.346566650241026e-05
0.185714,0.3123410882949829,0.012372468023676737,0.0006430403772741556,2.559245129718924e-05
