alpha,D,L,rho,rho_star,lambda,Delta,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,test_err_mean_noise,test_err_std_noise,_alpha,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean
0.1432070707070707,100.0,2.0,1.0,0.5,0.001,0.5,0.7368271827778465,0.0353278702758001,452.6851463317871,11.839456676480292,0.6298214718699455,7.174874365329742,7.804695837199688,0.1462524478426303,568.827392578125,13.203539542657964,0.1432070707070707,0.7368271827778465,0.0353278702758001,0.22634257316589357,0.005919728338240146,0.6298214718699455,7.174874365329742,7.804695837199688
0.1482323232323232,100.0,2.0,1.0,0.5,0.001,0.5,0.7401901668281006,0.0297315066607592,443.613468170166,19.105225499547178,0.7382764369249344,7.357644438743591,8.095920875668526,0.1573886650384178,568.2487945556641,21.521399627622696,0.1482323232323232,0.7401901668281006,0.0297315066607592,0.221806734085083,0.009552612749773589,0.7382764369249344,7.357644438743591,8.095920875668526
0.1532575757575757,100.0,2.0,1.0,0.5,0.001,0.5,0.7237006004016331,0.0334165386514457,425.1879348754883,18.917657033806492,0.7777547091245651,7.584373652935028,8.362128362059593,0.1608266718382756,549.5681457519531,16.24648308696097,0.1532575757575757,0.7237006004016331,0.0334165386514457,0.21259396743774414,0.009458828516903247,0.7777547091245651,7.584373652935028,8.362128362059593
0.1582828282828283,100.0,2.0,1.0,0.5,0.001,0.5,0.7519592424094814,0.0287036776244785,444.01362228393555,18.24265098408139,0.9180027768015862,7.790248870849609,8.708251647651196,0.2158138568873278,565.6039581298828,21.130561784099633,0.1582828282828283,0.7519592424094814,0.0287036776244785,0.22200681114196777,0.009121325492040694,0.9180027768015862,7.790248870849609,8.708251647651196
0.1633080808080808,100.0,2.0,1.0,0.5,0.001,0.5,0.7643184517730418,0.0308579940569489,438.7928581237793,18.93061582354671,1.0125812962651253,7.999739408493042,9.012320704758167,0.2369794462962536,560.4492721557617,24.699594805766356,0.1633080808080808,0.7643184517730418,0.0308579940569489,0.21939642906188964,0.009465307911773354,1.0125812962651253,7.999739408493042,9.012320704758167
0.1683333333333333,100.0,2.0,1.0,0.5,0.001,0.5,0.7938414063614224,0.02889527340022,463.923828125,23.65104439238096,1.3743561506271362,8.19050681591034,9.564862966537476,0.2179577940486329,594.3354949951172,19.644224899066348,0.1683333333333333,0.7938414063614224,0.02889527340022,0.2319619140625,0.01182552219619048,1.3743561506271362,8.19050681591034,9.564862966537476
0.1733585858585858,100.0,2.0,1.0,0.5,0.001,0.5,0.7822091739342082,0.0300949786716219,437.59194564819336,16.54326118046898,1.3416219800710678,8.347109317779541,9.688731297850609,0.2027638200109651,565.5030746459961,21.555493849462135,0.1733585858585858,0.7822091739342082,0.0300949786716219,0.21879597282409669,0.00827163059023449,1.3416219800710678,8.347109317779541,9.688731297850609
0.1783838383838384,100.0,2.0,1.0,0.5,0.001,0.5,0.8047738049462603,0.0356040882552941,438.9837188720703,18.154971075998017,1.7966155707836151,8.704349637031555,10.50096520781517,0.3034611307711971,564.8139343261719,14.392884704094564,0.1783838383838384,0.8047738049462603,0.0356040882552941,0.21949185943603516,0.009077485537999008,1.7966155707836151,8.704349637031555,10.50096520781517
0.1834090909090909,100.0,2.0,1.0,0.5,0.001,0.5,0.8159942769795703,0.0327345466583876,435.01588439941406,12.7974461775138,1.9065172225236893,8.892481207847595,10.798998430371284,0.3507716626753493,562.8685989379883,14.85109692295638,0.1834090909090909,0.8159942769795703,0.0327345466583876,0.21750794219970704,0.0063987230887569,1.9065172225236893,8.892481207847595,10.798998430371284
0.1884343434343434,100.0,2.0,1.0,0.5,0.001,0.5,0.8347216310957273,0.0294199082724722,439.37397384643555,13.575341559692369,2.2469886541366577,9.114405512809752,11.361394166946411,0.2046359440864723,566.9174880981445,17.20981842917118,0.1884343434343434,0.8347216310957273,0.0294199082724722,0.21968698692321778,0.006787670779846184,2.2469886541366577,9.114405512809752,11.361394166946411
0.1934595959595959,100.0,2.0,1.0,0.5,0.001,0.5,0.8596202190431201,0.0255433370656388,443.04182052612305,14.350367308493244,2.7281180322170258,9.324137210845947,12.052255243062971,0.4079686348587413,574.5766754150391,17.101504574402004,0.1934595959595959,0.8596202190431201,0.0255433370656388,0.22152091026306153,0.007175183654246622,2.7281180322170258,9.324137210845947,12.052255243062971
0.1984848484848485,100.0,2.0,1.0,0.5,0.001,0.5,0.8683479644823047,0.0536767167945044,446.04963302612305,14.881385353952034,3.076589286327362,9.489850521087646,12.566439807415009,0.4331512156003458,574.718620300293,22.787905218461983,0.1984848484848485,0.8683479644823047,0.0536767167945044,0.22302481651306152,0.0074406926769760165,3.076589286327362,9.489850521087646,12.566439807415009
0.203510101010101,100.0,2.0,1.0,0.5,0.001,0.5,0.8943594102562313,0.0424881437487563,438.35009765625,19.50532962627864,4.001695036888123,9.65550184249878,13.657196879386902,0.3621351202588202,566.3693161010742,18.65193077042321,0.203510101010101,0.8943594102562313,0.0424881437487563,0.219175048828125,0.009752664813139321,4.001695036888123,9.65550184249878,13.657196879386902
0.2085353535353535,100.0,2.0,1.0,0.5,0.001,0.5,0.9035591017447002,0.0377330006668008,446.4610557556152,13.91746838439079,4.233127981424332,9.864991068840029,14.09811905026436,0.3222275796830256,579.416862487793,14.852413763462502,0.2085353535353535,0.9035591017447002,0.0377330006668008,0.2232305278778076,0.006958734192195395,4.233127981424332,9.864991068840029,14.09811905026436
0.213560606060606,100.0,2.0,1.0,0.5,0.001,0.5,0.9400818345647846,0.042460455303947,456.2672233581543,18.27743372655349,5.171760380268097,9.99211287498474,15.163873255252838,0.5822012792053536,581.8725891113281,18.81379744809195,0.213560606060606,0.9400818345647846,0.042460455303947,0.22813361167907714,0.009138716863276745,5.171760380268097,9.99211287498474,15.163873255252838
0.2185858585858586,100.0,2.0,1.0,0.5,0.001,0.5,0.9835409055237382,0.0523356035280143,463.5938835144043,27.43498363288052,6.331007421016693,10.186249256134031,16.517256677150726,0.3318001786460509,597.6418685913086,28.825055131047773,0.2185858585858586,0.9835409055237382,0.0523356035280143,0.23179694175720214,0.013717491816440261,6.331007421016693,10.186249256134031,16.517256677150726
