alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test,train
0.2236220472440945,5.911296764037311,2.1721049319776675,116.77263801518006,0.0001425224513635,0.0073981411330634,0.0055288708230962,0.4305646601072688,0.0005217747513283
0.2271653543307086,5.8980349083490875,2.180680663943349,106.77449286616869,0.0001690998089783,0.0081871789781305,0.0060833837891397,0.4300737817109594,0.0005864103220958
0.2307086614173228,5.865780252155593,2.1872369538042182,96.58041726997514,0.0002024970393913,0.0090889514103474,0.0067176237229569,0.423178248193917,0.0006408864348867
0.2342519685039369,5.83640682424808,2.1928272928308803,88.4800135300163,0.0002377556015266,0.0100053503385501,0.0073578974039392,0.4187309190053556,0.0007569368473038
0.2377952755905512,5.818951332797679,2.200549241982575,81.71186696364049,0.0002750517858636,0.0109234755324862,0.0079876705710694,0.4158386217993141,0.000808561616014
0.2413385826771653,5.751249026802494,2.198892153848704,74.7758934426095,0.000321020450694,0.0119729120117058,0.0087489696805861,0.4065367311955015,0.0008997502487585
0.2448818897637795,5.695109227469482,2.1996565591778476,68.86774444581299,0.0003702497640073,0.0130761860764438,0.0095203724845621,0.4050943738631835,0.0009705716152763
0.2484251968503937,5.626847474502403,2.1990745743550173,63.04436047353454,0.0004304868566936,0.0143424469222556,0.0104230111040348,0.396429432955338,0.0011113426416485
0.2519685039370078,5.5096594448311915,2.189095223921504,57.72017340338721,0.0004970528798442,0.0157425376592361,0.0114544598588153,0.3931777156832718,0.0012112907269543
0.255511811023622,5.408109259583499,2.1812032420522547,53.3226731134632,0.0005642270410491,0.0170254727070124,0.0124189876882261,0.3833094313500756,0.0013635305137523
0.2590551181102362,5.3526025343028625,2.1790723903097353,49.89277857565076,0.0006305365999619,0.0181809992223478,0.0132824484443946,0.3792325826219007,0.0014312275867865
0.2625984251968504,5.206071702780612,2.1645246074597884,45.41507998987675,0.0007225182058757,0.0198210385268519,0.0145475897238991,0.3730478718025022,0.0015967542938509
0.2661417322834645,5.1243472534508365,2.1586943451343696,42.44791760406201,0.0008034037872377,0.0213601026397649,0.0156505772167006,0.3669289997014415,0.0016401951631602
0.2696850393700787,5.0231678344041715,2.1479405955655855,39.38351227580718,0.0009065542958139,0.0230626404275041,0.016963281821971,0.3640686114816294,0.0018476879739159
0.2732283464566929,4.910533004579622,2.1351401049263443,36.62236319978099,0.0010089584762732,0.0247813852764507,0.0182964505925901,0.3567249440662935,0.0019778592684316
0.2767716535433071,4.8017061586707905,2.122426775713218,34.0795790267056,0.0011226606766637,0.0265971412476731,0.0197166221443722,0.3504419237331064,0.0021027201760576
0.2803149606299213,4.666336765683547,2.104199159899704,31.555419679681165,0.0012508881161122,0.0286156082731635,0.0213580433259427,0.3407182228436607,0.0021907976439619
0.2838582677165354,4.564766000187923,2.0926939237623805,29.4316361669215,0.00138128719567,0.0305743323277972,0.0229232924631045,0.3384375245238354,0.002305644986947
0.2874015748031496,4.436827129727734,2.0725128730897193,27.36039703049554,0.0015340760017504,0.0328181745059544,0.0247852968345393,0.3306949528917083,0.0024439684245907
0.2909448818897637,4.348646749637577,2.063867361762914,25.715984882220752,0.0016720774597071,0.0348326728489,0.026424795606798,0.3215622925364845,0.0026223163066506
0.2944881889763779,4.22976022338753,2.0430625191359817,23.936089531588507,0.0018380116144281,0.0370107043403383,0.0282755513903133,0.3184171148111803,0.0028458635212126
0.2980314960629921,4.121341361045679,2.027514630221185,22.382472985217873,0.0020256383037811,0.0397729824026594,0.0305613500903723,0.3103830374331778,0.0029326773453786
0.3015748031496063,4.02265666522576,2.011326577553453,21.020464201432866,0.0022009309591775,0.0419018327942784,0.0324675857740314,0.3090888209527054,0.003071024670839
0.3051181102362204,3.913229214234315,1.995193826511644,19.62330816161419,0.0024040278830517,0.0448222207711273,0.0349048784619494,0.2987754342605476,0.0032278952249192
0.3086614173228346,3.8277809700410543,1.9810166980271176,18.539745119356297,0.0026031000730885,0.0474022000259634,0.0371360685189197,0.2936661239733979,0.0034646929718185
0.3122047244094488,3.741134201256555,1.9667869334292845,17.463077673844595,0.0028132222166096,0.0500331843371225,0.0394292780343048,0.2875105078374318,0.0036396611055192
0.3157480314960629,3.662573156622907,1.95336190215038,16.55288447773374,0.0030219107288496,0.0527049354215649,0.0417642640784347,0.282163634329129,0.0038969982034714
