alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test,train
0.05,0.572683187472413,0.4590012621429867,118.98587756079051,1.3096870993453503e-05,0.0013058889380689,0.0015608396022832,0.4051401938984781,0.0006787865575118
0.0535433070866141,0.6010015215126996,0.4859901420463859,119.47237937529276,1.3664692247916618e-05,0.0013875442027133,0.0016485096342232,0.3978701565203245,0.0007097777466808
0.0570866141732283,0.6268183797621658,0.51429201654953,118.98253461212,1.4425853395485204e-05,0.0014846259993512,0.0017611109276335,0.3871171735825904,0.000740524311197
0.0606299212598425,0.6512981110424205,0.5414138217986744,118.30764658253032,1.521300527358151e-05,0.001593776305931,0.0018907519661612,0.3798455452938118,0.0007686249962669
0.0641732283464567,0.6825722699614878,0.5703212647181751,117.8930864514826,1.5949153392037068e-05,0.0016935131223759,0.0019937373354706,0.3715991540369172,0.0007972251783233
0.0677165354330708,0.7108991307443818,0.597423039092613,117.44676026081724,1.6760346255767364e-05,0.0018091674146751,0.0021242405162606,0.3657183036734628,0.0008261309044287
0.071259842519685,0.7311664794645915,0.6204623245976792,116.02662885006404,1.7719952785143328e-05,0.0019235896374707,0.0022579772126445,0.3601218130677751,0.0008566647048282
0.0748031496062992,0.7579669516829378,0.6469587092878806,114.62945945209556,1.8651073936668235e-05,0.0020426650338151,0.0023915515952597,0.3509196071072067,0.0008864299513403
0.0783464566929133,0.7835289245856969,0.6718476360748391,113.26251416196806,1.953347554263285e-05,0.0021545974365817,0.0025150066507345,0.3452639128621624,0.0009134567164832
0.0818897637795275,0.810809650768346,0.6990146190291846,111.488614134378,2.079312768051245e-05,0.0023052075510776,0.002685782930318,0.3366290741721176,0.0009400162065781
0.0854330708661417,0.8390527532924829,0.7233164782923308,110.19269841650993,2.185210516533356e-05,0.0024246466009077,0.0028121398094725,0.3330092437532059,0.0009701763506973
0.0889763779527559,0.8675431535132672,0.7492372311979382,108.34756513068648,2.3116376259994512e-05,0.0025723652975434,0.0029726708266119,0.3272763308545734,0.0009931111141623
0.09251968503937,0.8951528101893883,0.7742843748033191,106.63760408014674,2.4386165832361294e-05,0.0027159104978539,0.0031369831464097,0.3182085604942681,0.0010263661643118
0.0960629921259842,0.9198347955377192,0.7958070281784483,104.68105089612686,2.582849083826908e-05,0.0028694963608549,0.0032941975046908,0.3165886013441977,0.0010504259188949
0.0996062992125984,0.9453017185332188,0.8176589275677679,102.83302723158272,2.748080916955562e-05,0.0030422076836878,0.0034968435484631,0.3092830986393666,0.0010766035911542
0.1031496062992126,0.9727900491943956,0.8416892842855102,100.48321159425352,2.9023678832801067e-05,0.0032053897140263,0.0036738376067779,0.3054400621571279,0.0011085635697559
0.1066929133858267,1.0020424348648322,0.8658084725731237,98.29689699520956,3.085186955107349e-05,0.0033901982706745,0.0038591945553952,0.2991188557085237,0.0011363183733083
0.1102362204724409,1.03635847915546,0.8900507653017391,96.4369143762487,3.282321047719438e-05,0.0035799193006207,0.0040669353787844,0.2953010273468066,0.0011642553622479
0.1137795275590551,1.0609776865709617,0.9115018360314162,93.88854891957244,3.493901655781653e-05,0.0037744620954795,0.0042659195993128,0.2911176447707822,0.0011902837362539
0.1173228346456693,1.088746781272825,0.9326981266089855,91.26043392562502,3.745610841245615e-05,0.0039976948038056,0.0045106893778354,0.284152673475246,0.0012171708061902
0.1208661417322834,1.1185956016017058,0.9554430051906292,89.0544238253966,4.014333974133878e-05,0.0042372278789014,0.0047635288097644,0.2843262339277026,0.0012559147727856
