alpha,D,L,rho,rho_star,lambda,Delta,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,test_err_mean_noise,test_err_std_noise,_alpha,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean,_train_total_loss_std
0.4057142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.028255168019539,0.0008370754424954,9.044113159179688,0.4184666823137807,4.114540338516235,62.24620544910431,66.36074578762054,0.0698545263512985,9.044113159179688,0.4184666823137807,0.4057142857142857,0.028255168019539,0.0008370754424954,0.0045220565795898,0.00020923334115680002,4.114540338516235,62.24620544910431,0.006636074578762,6.985452635129851e-06
0.4135714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.0239691236222582,0.0007156526744013,7.826958179473877,0.4198001694938605,3.8717586919665337,61.47493314743042,65.34669183939695,0.0775953577212881,7.826958179473877,0.4198001694938605,0.4135714285714286,0.0239691236222582,0.0007156526744013,0.0039134790897369,0.00020990008474690001,3.8717586919665337,61.47493314743042,0.0065346691839396,7.75953577212881e-06
0.4156349206349206,100.0,2.0,1.0,0.5,0.01,0.0,0.0200039215513818,0.0004790171072586,6.889143139123917,0.2709825228586484,3.5927819833159447,59.733975410461426,63.32675739377737,0.0500273139206,6.889143139123917,0.2709825228586484,0.4156349206349206,0.0200039215513818,0.0004790171072586,0.0034445715695619003,0.00013549126142930004,3.5927819833159447,59.733975410461426,0.0063326757393777,5.00273139206e-06
0.4214285714285715,100.0,2.0,1.0,0.5,0.01,0.0,0.021292827686928,0.0005644510067273,7.008268490433693,0.3157038803040866,3.6980906426906586,60.95303416252136,64.65112480521202,0.0657773470344507,7.008268490433693,0.3157038803040866,0.4214285714285715,0.021292827686928,0.0005644510067273,0.0035041342452168,0.000157851940152,3.6980906426906586,60.95303416252136,0.0064651124805212,6.577734703445071e-06
0.4292857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.0198963128973762,0.0005199706630267,6.474347144365311,0.2967739668644194,3.5947775915265083,60.76550817489624,64.36028576642275,0.065381077926374,6.474347144365311,0.2967739668644194,0.4292857142857143,0.0198963128973762,0.0005199706630267,0.0032371735721826,0.0001483869834322,3.5947775915265083,60.76550817489624,0.0064360285766422,6.5381077926374e-06
0.4314285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.0251422185197889,0.0007402105781988,7.426343634724617,0.3066955509970677,4.003849141299725,64.25555884838104,68.25940798968077,0.0752822784307556,7.426343634724617,0.3066955509970677,0.4314285714285714,0.0251422185197889,0.0007402105781988,0.0037131718173623,0.0001533477754985,4.003849141299725,64.25555884838104,0.006825940798968,7.528227843075561e-06
0.4371428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.0204509607396728,0.0004008877070395,6.432692363858223,0.2527770420175672,3.662060610949993,62.139233112335205,65.8012937232852,0.0480152982767969,6.432692363858223,0.2527770420175672,0.4371428571428571,0.0204509607396728,0.0004008877070395,0.0032163461819291,0.0001263885210087,3.662060610949993,62.139233112335205,0.0065801293723285,4.80152982767969e-06
0.445,100.0,2.0,1.0,0.5,0.01,0.0,0.0193329983206886,0.0006588107583371,5.934376999735832,0.2903941188176359,3.604202516376972,62.74838733673096,66.35258985310793,0.075156492700644,5.934376999735832,0.2903941188176359,0.445,0.0193329983206886,0.0006588107583371,0.0029671884998679,0.0001451970594088,3.604202516376972,62.74838733673096,0.0066352589853107,7.515649270064401e-06
0.447222,100.0,2.0,1.0,0.5,0.01,0.0,0.0202097651118403,0.0005791664447278,6.0316221714019775,0.2525344577625946,3.673663467168808,63.34497773647308,67.01864120364189,0.0619138489922752,6.0316221714019775,0.2525344577625946,0.447222,0.0202097651118403,0.0005791664447278,0.0030158110857009,0.0001262672288812,3.673663467168808,63.34497773647308,0.0067018641203641,6.19138489922752e-06
0.4528571428571429,100.0,2.0,1.0,0.5,0.01,0.0,0.0204967847611351,0.0005077518114872,5.922295942902565,0.2560865750683362,3.700274035334587,64.0142650604248,67.71453909575939,0.0547392768979168,5.922295942902565,0.2560865750683362,0.4528571428571429,0.0204967847611351,0.0005077518114872,0.0029611479714512,0.0001280432875341,3.700274035334587,64.0142650604248,0.0067714539095759,5.47392768979168e-06
0.4607142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.0134136409957384,0.0003377069707713,4.4855330884456635,0.176877146245294,3.0693349391222,59.33928978443146,62.40862472355366,0.0440240908739381,4.4855330884456635,0.176877146245294,0.4607142857142857,0.0134136409957384,0.0003377069707713,0.0022427665442228,8.843857312264699e-05,3.0693349391222,59.33928978443146,0.0062408624723553,4.402409087393809e-06
0.463016,100.0,2.0,1.0,0.5,0.01,0.0,0.0208558211889769,0.0004730632413974,5.849760115146637,0.2219477621895113,3.74701713770628,65.37559628486633,69.12261342257261,0.0557978165590989,5.849760115146637,0.2219477621895113,0.463016,0.0208558211889769,0.0004730632413974,0.0029248800575733,0.0001109738810947,3.74701713770628,65.37559628486633,0.0069122613422572,5.57978165590989e-06
0.4685714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.0147841155004492,0.0003429655271146,4.597583130002022,0.1777634984268498,3.23466357588768,61.825791239738464,65.06045481562614,0.041506866868075,4.597583130002022,0.1777634984268498,0.4685714285714286,0.0147841155004492,0.0003429655271146,0.002298791565001,8.888174921342491e-05,3.23466357588768,61.825791239738464,0.0065060454815626,4.1506866868074995e-06
0.4764285714285715,100.0,2.0,1.0,0.5,0.01,0.0,0.0172347285751058,0.0004315279162743,4.887752905488014,0.2217593753063353,3.442250318825245,63.69411110877991,67.13636142760515,0.0484258019413844,4.887752905488014,0.2217593753063353,0.4764285714285715,0.0172347285751058,0.0004315279162743,0.002443876452744,0.0001108796876531,3.442250318825245,63.69411110877991,0.0067136361427605,4.84258019413844e-06
0.47881,100.0,2.0,1.0,0.5,0.01,0.0,0.0152631886469356,0.0003197167188395,4.493459016084671,0.1628821270465559,3.2773021310567856,62.88165283203125,66.15895496308804,0.042134122995985,4.493459016084671,0.1628821270465559,0.47881,0.0152631886469356,0.0003197167188395,0.0022467295080423,8.144106352327795e-05,3.2773021310567856,62.88165283203125,0.0066158954963088,4.2134122995985e-06
