alpha,D,L,rho,lambda,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,test_err_mean_noise,test_err_std_noise,_alpha,_D,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean,_train_total_loss_std,_test_err_mean_noise,_test_err_std_noise
0.005,200.0,2.0,1.0,0.01,1.4652543897343235,0.0068673637887655,845.7069759368896,14.558295879890393,10.254304975271223,21.71853923797607,31.9728442132473,1.3722105023042288,904.8098239898682,15.984017393918714,0.005,200,1.4652543897343235,0.0068673637887655,0.0002114267439842,3.63957396997255e-06,10.254304975271223,21.71853923797607,0.0031972844213247,0.0001372210502304,0.4524049119949341,0.007992008696959357
0.0128571428571428,200.0,2.0,1.0,0.01,1.479563885000053,0.0106384268643982,857.8772735595703,19.979471981357225,10.013048738241196,42.67570459842682,52.688753336668015,0.9693132131302316,921.799913406372,19.07106079237093,0.0128571428571428,200,1.479563885000053,0.0106384268643982,0.0002144693183898,4.9948679953393e-06,10.013048738241196,42.67570459842682,0.0052688753336668,9.693132131302316e-05,0.46089995670318595,0.009535530396185465
0.0207142857142857,100.0,2.0,1.0,0.01,1.430545027498388,0.0264726742869219,837.4390773773193,26.82184987721436,3.329460237175226,15.040988773107529,18.370449010282755,0.4550047443989194,905.6283521652222,26.449304814983197,0.0207142857142857,100,1.430545027498388,0.0264726742869219,0.0002093597693443,6.70546246930355e-06,3.329460237175226,15.040988773107529,0.0018370449010282,4.550047443989194e-05,0.4528141760826111,0.013224652407491598
0.028571,100.0,2.0,1.0,0.01,1.361864442973522,0.022865326626082,804.5175046920776,20.09953919010975,3.492158018052578,18.116731613874435,21.608889631927013,0.4576440128947179,876.7945137023926,21.20175177197105,0.028571,100,1.361864442973522,0.022865326626082,0.000201129376173,5.024884797527401e-06,3.492158018052578,18.116731613874435,0.0021608889631927,4.576440128947179e-05,0.4383972568511963,0.010600875885985525
0.036429,100.0,2.0,1.0,0.01,1.2672398019541475,0.0212598649974998,763.8552532196045,20.57847610867055,3.727519288659096,20.86226850748062,24.589787796139717,0.4740298136155166,840.7797002792358,20.500040080281597,0.036429,100,1.2672398019541475,0.0212598649974998,0.0001909638133049,5.1446190271676e-06,3.727519288659096,20.86226850748062,0.0024589787796139,4.740298136155166e-05,0.42038985013961794,0.010250020040140799
0.044286,100.0,2.0,1.0,0.01,1.15931484158842,0.0242099071775097,720.0321311950684,25.848459366719723,3.97855393961072,23.33015015721321,27.30870409682393,0.4527210656899307,804.4232835769653,25.440389970747148,0.044286,100,1.15931484158842,0.0242099071775097,0.0001800080327987,6.4621148416799e-06,3.97855393961072,23.33015015721321,0.0027308704096823,4.527210656899307e-05,0.4022116417884827,0.012720194985373573
0.052143,100.0,2.0,1.0,0.01,1.1911576004921374,0.022398406050226,703.736029624939,19.651046632063625,4.416634671390057,26.33564430475235,30.752278976142406,0.473475629928524,786.1533527374268,19.29423355407631,0.052143,100,1.1911576004921374,0.022398406050226,0.0001759340074062,4.9127616580159e-06,4.416634671390057,26.33564430475235,0.0030752278976142,4.73475629928524e-05,0.39307667636871335,0.009647116777038155
0.06,100.0,2.0,1.0,0.01,1.134729842458538,0.0226741015259189,669.1252145767212,19.407491781550803,4.740956217050552,28.788041323423386,33.52899754047394,0.5795598248030963,754.2970323562622,20.19525972208998,0.06,100,1.134729842458538,0.0226741015259189,0.0001672813036441,4.851872945387699e-06,4.740956217050552,28.788041323423386,0.0033528997540473,5.795598248030963e-05,0.3771485161781311,0.010097629861044989
0.067857,100.0,2.0,1.0,0.01,1.1544795843410662,0.0312660698281005,648.7195482254028,21.07259601301115,5.2230856865644455,31.76462411880493,36.98770980536938,0.5388407518079775,732.2959403991699,21.663114412118848,0.067857,100,1.1544795843410662,0.0312660698281005,0.0001621798870563,5.26814900325275e-06,5.2230856865644455,31.76462411880493,0.0036987709805369,5.388407518079775e-05,0.36614797019958495,0.010831557206059423
0.075714,100.0,2.0,1.0,0.01,0.973966440818057,0.0185824529438415,595.133056640625,18.70447103649382,5.364543676376343,33.05407649278641,38.41862016916275,0.5086164726899092,690.6245784759521,18.648230478825035,0.075714,100,0.973966440818057,0.0185824529438415,0.0001487832641601,4.6761177591234505e-06,5.364543676376343,33.05407649278641,0.0038418620169162,5.0861647268990914e-05,0.3453122892379761,0.009324115239412517
