alpha,D,L,rho,rho_star,lambda,Delta,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,_alpha,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean,_train_total_loss_std
0.005,100.0,2.0,1.0,0.5,0.01,0.0,1.427459600757281,0.0118861993965297,0.4080171892419457,0.0096542925038953,3.459538117051125,4.492088161408901,7.951626278460026,0.6583308236888192,0.005,1.427459600757281,0.0118861993965297,0.4080171892418,0.0096542925038953,3.459538117051125,4.492088161408901,0.000795162627846,6.583308236888193e-05
0.0128571428571428,100.0,2.0,1.0,0.5,0.01,0.0,1.4309485003262856,0.017012653155048,0.4170720735564828,0.010357651134612,3.2025848627090454,10.092037320137024,13.29462218284607,0.5053186688479407,0.0128571428571428,1.4309485003262856,0.017012653155048,0.4170720735564,0.010357651134612,3.2025848627090454,10.092037320137024,0.0013294622182846,5.053186688479407e-05
0.0207142857142857,100.0,2.0,1.0,0.5,0.01,0.0,1.3765779087043426,0.0178301292854426,0.4061370175331831,0.0116997209273238,3.0627703070640564,13.698119729757307,16.760890036821365,0.3943444371816665,0.0207142857142857,1.3765779087043426,0.0178301292854426,0.406137017533,0.0116997209273238,3.0627703070640564,13.698119729757307,0.0016760890036821,3.943444371816665e-05
0.0285714285714285,100.0,2.0,1.0,0.5,0.01,0.0,1.3999485290410707,0.0198512147577693,0.3997794454917311,0.0110403399016955,3.29037094116211,17.0456822514534,20.33605319261551,0.5356808737262068,0.0285714285714285,1.3999485290410707,0.0198512147577693,0.3997794454916,0.0110403399016955,3.29037094116211,17.0456822514534,0.0020336053192615,5.3568087372620674e-05
0.0364285714285714,100.0,2.0,1.0,0.5,0.01,0.0,1.1705430996629618,0.0212571557145702,0.3524012202396989,0.0107143077172681,3.3234206587076187,19.012703597545624,22.33612425625324,0.3239604152143689,0.0364285714285714,1.1705430996629618,0.0212571557145702,0.3524012202396,0.0107143077172681,3.3234206587076187,19.012703597545624,0.0022336124256253,3.239604152143689e-05
0.0442857142857142,100.0,2.0,1.0,0.5,0.01,0.0,1.0578186890005303,0.0217660090640974,0.329034473747015,0.009098745156378,3.468662478029728,21.00095820426941,24.469620682299137,0.3960880556001506,0.0442857142857142,1.0578186890005303,0.0217660090640974,0.329034473747,0.009098745156378,3.468662478029728,21.00095820426941,0.0024469620682299,3.960880556001506e-05
0.0521428571428571,100.0,2.0,1.0,0.5,0.01,0.0,1.074073348339422,0.0187132988302536,0.320845459587872,0.0079527663882822,3.8371503427624702,23.98155558109283,27.818705923855305,0.3956962248855312,0.0521428571428571,1.074073348339422,0.0187132988302536,0.3208454595878,0.0079527663882822,3.8371503427624702,23.98155558109283,0.0027818705923855,3.956962248855312e-05
0.06,100.0,2.0,1.0,0.5,0.01,0.0,1.0791869995819514,0.0230828800772454,0.3064728220924735,0.0097626689519247,4.188612774014473,26.728682100772858,30.91729487478733,0.4178521200646716,0.06,1.0791869995819514,0.0230828800772454,0.3064728220922,0.0097626689519247,4.188612774014473,26.728682100772858,0.0030917294874787,4.178521200646716e-05
0.0678571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.8990887164371257,0.0187997477710553,0.2690850533545017,0.0075982537019362,4.186735540628433,27.601341724395752,31.788077265024185,0.4018387863941319,0.0678571428571428,0.8990887164371257,0.0187997477710553,0.26908505335419997,0.0075982537019362,4.186735540628433,27.601341724395752,0.0031788077265024,4.018387863941319e-05
0.0757142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.8981252247227252,0.0181510642717536,0.2636571484617889,0.0089251509669024,4.51166807115078,30.071110010147095,34.582778081297874,0.4094971587117424,0.0757142857142857,0.8981252247227252,0.0181510642717536,0.2636571484616,0.0089251509669024,4.51166807115078,30.071110010147095,0.0034582778081297,4.094971587117424e-05
0.0835714285714285,100.0,2.0,1.0,0.5,0.01,0.0,0.8162305815093172,0.0206115030999686,0.2392775947228074,0.0084151627448911,4.662260249257088,31.5477791428566,36.210039392113686,0.3498877090170508,0.0835714285714285,0.8162305815093172,0.0206115030999686,0.2392775947226,0.0084151627448911,4.662260249257088,31.5477791428566,0.0036210039392113,3.498877090170508e-05
0.0914285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.8183301863300798,0.0189199663026821,0.2296146592125296,0.0082749091036679,4.994141399860382,33.97483420372009,38.968975603580475,0.3167834577045479,0.0914285714285714,0.8183301863300798,0.0189199663026821,0.2296146592124,0.0082749091036679,4.994141399860382,33.97483420372009,0.003896897560358,3.1678345770454793e-05
0.0992857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.6740829460198741,0.0191745803230485,0.1997200548648834,0.0078514628343002,4.943846121430397,34.407018542289734,39.35086466372013,0.3877090001186939,0.0992857142857143,0.6740829460198741,0.0191745803230485,0.1997200548648834,0.0078514628343002,4.943846121430397,34.407018542289734,0.003935086466372,3.877090001186939e-05
0.1071428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.6375733037131988,0.0150444663633968,0.1813919027335941,0.0062874600561283,5.172449991106987,36.28013455867767,41.45258454978466,0.4758642971219949,0.1071428571428571,0.6375733037131988,0.0150444663633968,0.18139190273359398,0.0062874600561283,5.172449991106987,36.28013455867767,0.0041452584549784,4.758642971219949e-05
0.115,100.0,2.0,1.0,0.5,0.01,0.0,0.6195903599713862,0.0121239419766116,0.1693293624557554,0.0052930622686821,5.461704209446907,38.36741065979004,43.829114869236946,0.321785868374094,0.115,0.6195903599713862,0.0121239419766116,0.1693293624557554,0.0052930622686821,5.461704209446907,38.36741065979004,0.0043829114869236,3.21785868374094e-05
0.1228571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.5542850305501656,0.0138398941602354,0.153848766349256,0.0069036285390847,5.52375952899456,39.34548377990723,44.86924330890179,0.3313702622475305,0.1228571428571428,0.5542850305501656,0.0138398941602354,0.153848766349256,0.0069036285390847,5.52375952899456,39.34548377990723,0.0044869243308901,3.313702622475305e-05
0.1307142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.4799154792903841,0.0155406479010962,0.1370007272344082,0.0064291070111588,5.512562096118927,39.96939945220947,45.4819615483284,0.4003857453380733,0.1307142857142857,0.4799154792903841,0.0155406479010962,0.1370007272344082,0.0064291070111588,5.512562096118927,39.96939945220947,0.0045481961548328,4.003857453380733e-05
0.1385714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.4806082076209397,0.011327051680608,0.1317542130127549,0.0051624624220159,5.859448820352554,42.272473096847534,48.13192191720009,0.30905519757741,0.1385714285714286,0.4806082076209397,0.011327051680608,0.1317542130127549,0.0051624624220159,5.859448820352554,42.272473096847534,0.00481319219172,3.0905519757741e-05
0.1464285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.4529578471063685,0.012471166457905,0.121549426112324,0.0048607295998034,5.9919144064188,43.40028178691864,49.39219619333744,0.288066415701258,0.1464285714285714,0.4529578471063685,0.012471166457905,0.121549426112324,0.0048607295998034,5.9919144064188,43.40028178691864,0.0049392196193337,2.8806641570125803e-05
0.1542857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.3574002135897002,0.0110949446895418,0.1011410367209464,0.0050848390485939,5.753205686807632,42.98569595813751,48.738901644945145,0.307674170879823,0.1542857142857143,0.3574002135897002,0.0110949446895418,0.1011410367209464,0.0050848390485939,5.753205686807632,42.98569595813751,0.0048738901644945,3.07674170879823e-05
0.1621428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.3549052011749611,0.0092500721580735,0.0964799865614622,0.003535574332751,6.015055552124977,44.82707333564758,50.84212888777256,0.3288895817342265,0.1621428571428571,0.3549052011749611,0.0092500721580735,0.0964799865614622,0.003535574332751,6.015055552124977,44.82707333564758,0.0050842128887772,3.288895817342265e-05
0.17,100.0,2.0,1.0,0.5,0.01,0.0,0.3145483177146859,0.0101320770583052,0.0827829125337302,0.0034088662085798,6.0554617047309875,46.03837704658508,52.09383875131607,0.3149162324926631,0.17,0.3145483177146859,0.0101320770583052,0.0827829125337302,0.0034088662085798,6.0554617047309875,46.03837704658508,0.0052093838751316,3.149162324926631e-05
0.1778571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.3114739865296724,0.0092956947004486,0.0782927584368735,0.0039270777981708,6.247416973114014,47.6862131357193,53.93363010883331,0.2984658451752111,0.1778571428571428,0.3114739865296724,0.0092956947004486,0.0782927584368735,0.0039270777981708,6.247416973114014,47.6862131357193,0.0053933630108833,2.9846584517521108e-05
0.1857142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.2633843936267257,0.0093590067328034,0.0678037944016978,0.0033738661509182,6.114714279770851,47.80023539066315,53.914949670434,0.2617078359913841,0.1857142857142857,0.2633843936267257,0.0093590067328034,0.0678037944016978,0.0033738661509182,6.114714279770851,47.80023539066315,0.0053914949670433,2.6170783599138408e-05
0.1935714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.2422396271805723,0.0082877435604495,0.0607667394215241,0.0031423899295513,6.136737644672394,48.91858279705048,55.05532044172287,0.2648034637754845,0.1935714285714286,0.2422396271805723,0.0082877435604495,0.0607667394215241,0.0031423899295513,6.136737644672394,48.91858279705048,0.0055055320441722,2.6480346377548453e-05
0.2014285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.2225963126934791,0.0074443220857197,0.0560300493380054,0.0027310220192854,6.195718705654144,49.68792414665222,55.883642852306366,0.2536505462988182,0.2014285714285714,0.2225963126934791,0.0074443220857197,0.0560300493380054,0.0027310220192853,6.195718705654144,49.68792414665222,0.0055883642852306,2.5365054629881824e-05
0.2092857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.203792075051757,0.0060081658552842,0.049502162146382,0.0020755875398977,6.164249151945114,50.797802805900574,56.96205195784569,0.2142471538862577,0.2092857142857143,0.203792075051757,0.0060081658552842,0.049502162146382,0.0020755875398976,6.164249151945114,50.797802805900574,0.0056962051957845,2.142471538862577e-05
0.2171428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.176155688318549,0.0053360941129017,0.0437057960079982,0.0022913655527225,6.007089138031006,50.37514078617096,56.382229924201965,0.2240099411021129,0.2171428571428571,0.176155688318549,0.0053360941129017,0.0437057960079982,0.0022913655527224,6.007089138031006,50.37514078617096,0.0056382229924201,2.240099411021129e-05
0.225,100.0,2.0,1.0,0.5,0.01,0.0,0.163162749298718,0.006515972856911,0.0388655510032549,0.002278739561439,6.033234640955925,51.69901216030121,57.73224680125713,0.2632925258730366,0.225,0.163162749298718,0.006515972856911,0.0388655510032549,0.002278739561439,6.033234640955925,51.69901216030121,0.0057732246801257,2.6329252587303658e-05
0.2328571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.1519366357140587,0.0058723628710736,0.0357898242073133,0.0016938087500016,6.003338277339935,52.49629521369934,58.49963349103928,0.260652794188615,0.2328571428571428,0.1519366357140587,0.0058723628710736,0.0357898242073133,0.0016938087500016,6.003338277339935,52.49629521369934,0.0058499633491039,2.6065279418861498e-05
0.2407142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.1331802809628442,0.0042701777977136,0.0306010706117376,0.0014737895803425,5.851208820939064,52.3140584230423,58.16526724398136,0.1919030834473751,0.2407142857142857,0.1331802809628442,0.0042701777977136,0.030601070611737603,0.0014737895803425,5.851208820939064,52.3140584230423,0.0058165267243981,1.919030834473751e-05
0.2485714285714285,100.0,2.0,1.0,0.5,0.01,0.0,0.1325766752728959,0.0048730850850274,0.0301162473624572,0.0015090654132659,6.021087154746056,54.29200601577759,60.31309317052364,0.1841804629228527,0.2485714285714285,0.1325766752728959,0.0048730850850274,0.0301162473624572,0.0015090654132659,6.021087154746056,54.29200601577759,0.0060313093170523,1.841804629228527e-05
0.2564285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.1192678506604039,0.0036908691140732,0.0267510087578557,0.0012612207446553,5.907595843076706,54.51845109462738,60.426046937704086,0.1796103604049053,0.2564285714285714,0.1192678506604039,0.0036908691140732,0.0267510087578557,0.0012612207446553,5.907595843076706,54.51845109462738,0.0060426046937704,1.796103604049053e-05
0.2642857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.0929353770466841,0.0034659420759568,0.0218053144053556,0.0011400630981623,5.48289829492569,53.21091151237488,58.69380980730057,0.1586498526499478,0.2642857142857143,0.0929353770466841,0.0034659420759568,0.0218053144053556,0.0011400630981623,5.48289829492569,53.21091151237488,0.00586938098073,1.586498526499478e-05
0.2721428571428572,100.0,2.0,1.0,0.5,0.01,0.0,0.0997178720933223,0.0036359594157756,0.0213992539211176,0.0010294426384983,5.791094779968262,56.52571392059326,62.31680870056152,0.1780921677061811,0.2721428571428572,0.0997178720933223,0.0036359594157756,0.021399253921117602,0.0010294426384983,5.791094779968262,56.52571392059326,0.0062316808700561,1.780921677061811e-05
0.28,100.0,2.0,1.0,0.5,0.01,0.0,0.0828668548242517,0.0024171102549661,0.0181082495255395,0.0009765690216688,5.413827463984489,55.19675934314728,60.61058680713177,0.1303458161758179,0.28,0.0828668548242517,0.0024171102549661,0.0181082495255395,0.0009765690216688,5.413827463984489,55.19675934314728,0.0060610586807131,1.303458161758179e-05
0.2878571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.0861202164203997,0.0024278074091658,0.0175569556304253,0.0008559491494543,5.598898693919182,57.15192008018494,62.75081877410412,0.1235895641983263,0.2878571428571428,0.0861202164203997,0.0024278074091658,0.0175569556304253,0.0008559491494543,5.598898693919182,57.15192008018494,0.0062750818774104,1.235895641983263e-05
0.2957142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.0720581969871356,0.0019550513852322,0.0148750476073473,0.0007053736840368,5.3171190321445465,56.78701102733612,62.10413005948067,0.1339821077092622,0.2957142857142857,0.0720581969871356,0.0019550513852322,0.0148750476073473,0.0007053736840368,5.3171190321445465,56.78701102733612,0.006210413005948,1.339821077092622e-05
0.3035714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.061097512668334,0.0021687402322078,0.0129376483382657,0.0006881208927589,5.02383816242218,55.61242747306824,60.63626563549042,0.1332942422725005,0.3035714285714286,0.061097512668334,0.0021687402322078,0.0129376483382657,0.0006881208927589,5.02383816242218,55.61242747306824,0.006063626563549,1.332942422725005e-05
0.3114285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.0557048239747773,0.001654711206153,0.0115561191923916,0.0005589650006413,4.89116145670414,55.77657115459442,60.66773261129856,0.0963827848164057,0.3114285714285714,0.0557048239747773,0.001654711206153,0.0115561191923916,0.0005589650006413,4.89116145670414,55.77657115459442,0.0060667732611298,9.638278481640573e-06
0.3192857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.0509400808422743,0.0019094537210309,0.0106622645980678,0.0006124695893529,4.8387284725904465,56.72651720046997,61.56524567306042,0.1249497905960676,0.3192857142857143,0.0509400808422743,0.0019094537210309,0.0106622645980678,0.0006124695893529,4.8387284725904465,56.72651720046997,0.006156524567306,1.249497905960676e-05
0.3271428571428572,100.0,2.0,1.0,0.5,0.01,0.0,0.0656306646110474,0.0023042047080508,0.0117291776987258,0.000563648594028,5.380524381995201,60.71467578411102,66.09520016610622,0.1481437166657415,0.3271428571428572,0.0656306646110474,0.0023042047080508,0.0117291776987258,0.000563648594028,5.380524381995201,60.71467578411102,0.0066095200166106,1.481437166657415e-05
0.335,100.0,2.0,1.0,0.5,0.01,0.0,0.0488345327088466,0.0017253088976263,0.00936025424744,0.0005633800171444,4.833348259329796,58.59084236621857,63.42419062554836,0.1130474541080548,0.335,0.0488345327088466,0.0017253088976263,0.00936025424744,0.0005633800171444,4.833348259329796,58.59084236621857,0.0063424190625548,1.130474541080548e-05
0.3428571428571428,100.0,2.0,1.0,0.5,0.01,0.0,0.0454357910682511,0.0012978923542244,0.0083898440352641,0.0003097147482343,4.749118357896805,59.03945255279541,63.788570910692215,0.0942486038281522,0.3428571428571428,0.0454357910682511,0.0012978923542244,0.0083898440352641,0.00030971474823430004,4.749118357896805,59.03945255279541,0.0063788570910692,9.42486038281522e-06
0.3507142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.0458786345052324,0.0015223953504128,0.008230788516812,0.0003974115328833,4.813264027237892,60.437286615371704,65.2505506426096,0.1061437996737923,0.3507142857142857,0.0458786345052324,0.0015223953504128,0.008230788516812,0.0003974115328833,4.813264027237892,60.437286615371704,0.0065250550642609,1.061437996737923e-05
0.3585714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.044894594353118,0.0015440216502998,0.0077391311497194,0.0004533426749699,4.814240634441376,61.0589634180069,65.87320405244827,0.1110852717001535,0.3585714285714286,0.044894594353118,0.0015440216502998,0.007739131149719301,0.00045334267496990004,4.814240634441376,61.0589634180069,0.0065873204052448,1.110852717001535e-05
0.3664285714285714,100.0,2.0,1.0,0.5,0.01,0.0,0.0353826236107993,0.0009462527332225,0.0065335854451404,0.0003050811143714,4.425216317176819,59.7124707698822,64.13768708705902,0.0835284169597622,0.3664285714285714,0.0353826236107993,0.0009462527332225,0.0065335854451404,0.0003050811143714,4.425216317176819,59.7124707698822,0.0064137687087059,8.35284169597622e-06
0.3742857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.0371469812081178,0.0008176533703604,0.0063853813626337,0.0002776692690595,4.506056308746338,60.864278078079224,65.37033438682556,0.065574413377283,0.3742857142857143,0.0371469812081178,0.0008176533703604,0.0063853813626337,0.0002776692690595,4.506056308746338,60.864278078079224,0.0065370334386825,6.5574413377283e-06
0.3821428571428572,100.0,2.0,1.0,0.5,0.01,0.0,0.0375664515088659,0.0010646898529414,0.0061180458578746,0.0002738412481567,4.575509861111641,62.20722270011902,66.78273256123066,0.0863518548762211,0.3821428571428572,0.0375664515088659,0.0010646898529414,0.0061180458578746,0.0002738412481567,4.575509861111641,62.20722270011902,0.006678273256123,8.63518548762211e-06
0.39,100.0,2.0,1.0,0.5,0.01,0.0,0.0267922941432902,0.0007420730803042,0.004800520473509,0.0001679544192971,3.982589185237885,59.108132004737854,63.09072118997574,0.0674115539995266,0.39,0.0267922941432902,0.0007420730803042,0.004800520473509,0.0001679544192971,3.982589185237885,59.108132004737854,0.0063090721189975,6.74115539995266e-06
0.3978571428571429,100.0,2.0,1.0,0.5,0.01,0.0,0.0280177202697755,0.0007865708937461,0.0047853503201622,0.0002029937214358,4.080076605081558,60.53544187545776,64.61551848053932,0.0671465878883087,0.3978571428571429,0.0280177202697755,0.0007865708937461,0.0047853503201622,0.00020299372143580002,4.080076605081558,60.53544187545776,0.0064615518480539,6.71465878883087e-06
0.4057142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.0277908933840248,0.0006464366587488,0.0045319105702219,0.0001792758137729,4.086388826370239,61.54103171825409,65.62742054462433,0.0642531173726571,0.4057142857142857,0.0277908933840248,0.0006464366587488,0.0045319105702219,0.00017927581377290004,4.086388826370239,61.54103171825409,0.0065627420544624,6.42531173726571e-06
0.4135714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.0262826382063132,0.0006635957071937,0.0042684429790824,0.0001968070677812,4.0428698137402534,62.21956992149353,66.26243973523378,0.0695458085591251,0.4135714285714286,0.0262826382063132,0.0006635957071937,0.0042684429790824,0.00019680706778120002,4.0428698137402534,62.21956992149353,0.0066262439735233,6.9545808559125094e-06
0.4214285714285715,100.0,2.0,1.0,0.5,0.01,0.0,0.0261310324808649,0.0008002498049424,0.0040625067849759,0.0001948547462247,4.035847373306751,62.788634300231934,66.82448167353868,0.0818266364768997,0.4214285714285715,0.0261310324808649,0.0008002498049424,0.0040625067849759,0.0001948547462247,4.035847373306751,62.788634300231934,0.0066824481673538,8.18266364768997e-06
0.4292857142857143,100.0,2.0,1.0,0.5,0.01,0.0,0.0237317398187803,0.0008064292286991,0.0037385449468274,0.0002026048416541,3.894767299294472,62.531036138534546,66.42580343782902,0.0789320856899864,0.4292857142857143,0.0237317398187803,0.0008064292286991,0.0037385449468274002,0.0002026048416541,3.894767299294472,62.531036138534546,0.0066425803437829,7.89320856899864e-06
0.4371428571428571,100.0,2.0,1.0,0.5,0.01,0.0,0.0194534994557986,0.0005946750980146,0.0031899082605377,0.0001491863842097,3.594358377158642,61.09553897380829,64.68989735096693,0.0660414965955029,0.4371428571428571,0.0194534994557986,0.0005946750980146,0.0031899082605377,0.0001491863842097,3.594358377158642,61.09553897380829,0.0064689897350966,6.60414965955029e-06
0.445,100.0,2.0,1.0,0.5,0.01,0.0,0.0238240170907607,0.0007337439421777,0.0034823995956685,0.0001614767394058,3.927494831383228,64.38267350196838,68.31016833335161,0.0720073955375871,0.445,0.0238240170907607,0.0007337439421777,0.0034823995956685,0.0001614767394058,3.927494831383228,64.38267350196838,0.0068310168333351,7.2007395537587104e-06
0.4528571428571429,100.0,2.0,1.0,0.5,0.01,0.0,0.0213432484701042,0.000443855686027,0.0030959558571339,0.0001208920016526,3.7498388960957527,63.70750617980957,67.45734507590532,0.0443963099725146,0.4528571428571429,0.0213432484701042,0.000443855686027,0.0030959558571339004,0.00012089200165260001,3.7498388960957527,63.70750617980957,0.0067457345075905,4.43963099725146e-06
0.4607142857142857,100.0,2.0,1.0,0.5,0.01,0.0,0.0180115749894202,0.0005430873831305,0.0027220042029512,0.0001200975199505,3.496544487774372,62.472880363464355,65.96942485123873,0.0630888392434347,0.4607142857142857,0.0180115749894202,0.0005430873831305,0.0027220042029512,0.0001200975199505,3.496544487774372,62.472880363464355,0.0065969424851238,6.30888392434347e-06
0.4685714285714286,100.0,2.0,1.0,0.5,0.01,0.0,0.0182868136101811,0.0004646456372135,0.002688733744435,0.0001106881871983,3.5567090958356857,63.76587235927582,67.3225814551115,0.0572744431284387,0.4685714285714286,0.0182868136101811,0.0004646456372135,0.002688733744435,0.0001106881871983,3.5567090958356857,63.76587235927582,0.0067322581455111,5.7274443128438695e-06
0.4764285714285715,100.0,2.0,1.0,0.5,0.01,0.0,0.0160237573188569,0.0003880253754878,0.002389875735389,9.81797505518759e-05,3.337811663746834,62.35770833492279,65.69551999866962,0.0541049142166719,0.4764285714285715,0.0160237573188569,0.0003880253754878,0.0023898757353889,9.81797505518759e-05,3.337811663746834,62.35770833492279,0.0065695519998669,5.41049142166719e-06
