alpha,D,L,rho,rho_star,lambda,Delta,MSE_mean,MSE_std,test_err_mean,test_err_std,train_data_loss_mean,train_reg_loss_mean,train_total_loss_mean,train_total_loss_std,test_err_mean_noise,test_err_std_noise,_alpha,_mse,_mse_std,_test_err_mean,_test_err_std,_train_data_loss_mean,_train_reg_loss_mean,_train_total_loss_mean
0.0003571428571428,100.0,5.0,1.0,0.5,0.001,0.0,1.483966040411345,0.0371268045819673,1962.8021240234375,82.63322245471764,0.5829245299100876,0.3888827655464411,0.9718072954565288,0.2321999636273043,1962.8021240234375,82.63322245471764,0.0003571428571428,1.483966040411345,0.0371268045819673,0.9814010620117187,0.04131661122735882,0.5829245299100876,0.3888827655464411,0.9718072954565288
0.001075,100.0,5.0,1.0,0.5,0.001,0.0,1.675457913798755,0.1028864119875136,2271.972137451172,157.34531113870815,0.5033119544386864,1.1956219375133514,1.6989338919520378,0.179675669929708,2271.972137451172,157.34531113870815,0.001075,1.675457913798755,0.1028864119875136,1.1359860687255858,0.07867265556935407,0.5033119544386864,1.1956219375133514,1.6989338919520378
0.001793,100.0,5.0,1.0,0.5,0.001,0.0,1.6341174157557476,0.0758648790488537,2256.9973754882812,102.0711649747069,0.4772523716092109,1.5648685842752457,2.0421209558844566,0.1154526591872025,2256.9973754882812,102.0711649747069,0.001793,1.6341174157557476,0.0758648790488537,1.1284986877441405,0.05103558248735345,0.4772523716092109,1.5648685842752457,2.0421209558844566
0.002511,100.0,5.0,1.0,0.5,0.001,0.0,1.4545252586747053,0.0365588432216711,2052.261703491211,60.27332493021069,0.4328740090131759,1.8073259890079496,2.240199998021126,0.1190835126240052,2052.261703491211,60.27332493021069,0.002511,1.4545252586747053,0.0365588432216711,1.0261308517456054,0.030136662465105345,0.4328740090131759,1.8073259890079496,2.240199998021126
0.003229,100.0,5.0,1.0,0.5,0.001,0.0,1.394093643456495,0.0414485977945506,1993.2330474853516,66.69314314481872,0.3986321277916431,2.004703536629677,2.40333566442132,0.0691009066737881,1993.2330474853516,66.69314314481872,0.003229,1.394093643456495,0.0414485977945506,0.9966165237426757,0.03334657157240936,0.3986321277916431,2.004703536629677,2.40333566442132
0.0039466089466089,100.0,5.0,1.0,0.5,0.001,0.0,1.408139544546498,0.0356032311042927,1998.8434295654297,49.83091532989851,0.3618578650057316,2.2331749498844147,2.5950328148901463,0.0790818134224555,1998.8434295654297,49.83091532989851,0.0039466089466089,1.408139544546498,0.0356032311042927,0.9994217147827148,0.024915457664949254,0.3618578650057316,2.2331749498844147,2.5950328148901463
0.0046645021645021,100.0,5.0,1.0,0.5,0.001,0.0,1.2901314883258024,0.0287718583650448,1866.428237915039,38.03950656393148,0.3319347873330116,2.322289675474167,2.6542244628071785,0.0683361575282396,1866.428237915039,38.03950656393148,0.0046645021645021,1.2901314883258024,0.0287718583650448,0.9332141189575195,0.019019753281965743,0.3319347873330116,2.322289675474167,2.6542244628071785
0.0053823953823953,100.0,5.0,1.0,0.5,0.001,0.0,1.3088644186407208,0.0234506181676478,1853.5252685546875,33.83110692622772,0.3197511881589889,2.5644585490226746,2.8842097371816635,0.0597790267966645,1853.5252685546875,33.83110692622772,0.0053823953823953,1.3088644186407208,0.0234506181676478,0.9267626342773437,0.01691555346311386,0.3197511881589889,2.5644585490226746,2.8842097371816635
0.0061002886002886,100.0,5.0,1.0,0.5,0.001,0.0,1.2135974962801146,0.024412929015963,1759.501480102539,37.63832572236741,0.2944267429411411,2.708770841360092,3.0031975843012333,0.0571606810659075,1759.501480102539,37.63832572236741,0.0061002886002886,1.2135974962801146,0.024412929015963,0.8797507400512695,0.018819162861183705,0.2944267429411411,2.708770841360092,3.0031975843012333
0.0068181818181818,100.0,5.0,1.0,0.5,0.001,0.0,1.2224851276970554,0.0219434728569385,1736.779800415039,31.85288708691484,0.3013607747852802,2.9772251546382904,3.27858592942357,0.0548100085704383,1736.779800415039,31.85288708691484,0.0068181818181818,1.2224851276970554,0.0219434728569385,0.8683899002075195,0.01592644354345742,0.3013607747852802,2.9772251546382904,3.27858592942357
0.007536075036075,100.0,5.0,1.0,0.5,0.001,0.0,1.1198529483687454,0.029474445860391,1609.5069122314453,39.59768521983753,0.3027206547558307,3.077464610338211,3.380185265094042,0.0405977994267471,1609.5069122314453,39.59768521983753,0.007536075036075,1.1198529483687454,0.029474445860391,0.8047534561157227,0.019798842609918765,0.3027206547558307,3.077464610338211,3.380185265094042
0.0082539682539682,100.0,5.0,1.0,0.5,0.001,0.0,1.0686164397550888,0.0297484774662022,1554.321319580078,44.69984710289952,0.297724861651659,3.187848687171936,3.485573548823595,0.0730088564516347,1554.321319580078,44.69984710289952,0.0082539682539682,1.0686164397550888,0.0297484774662022,0.7771606597900389,0.022349923551449758,0.297724861651659,3.187848687171936,3.485573548823595
0.0089718614718614,100.0,5.0,1.0,0.5,0.001,0.0,1.029491749616561,0.0154792495309759,1501.583953857422,25.679748455731936,0.3022059239447117,3.2978086173534393,3.600014541298151,0.0347744643437781,1501.583953857422,25.679748455731936,0.0089718614718614,1.029491749616561,0.0154792495309759,0.750791976928711,0.012839874227865969,0.3022059239447117,3.2978086173534393,3.600014541298151
0.0096897546897546,100.0,5.0,1.0,0.5,0.001,0.0,0.9770861767026078,0.0292691157198327,1446.1006774902344,40.96164079758859,0.2944745123386383,3.408756345510483,3.703230857849121,0.0724619407391451,1446.1006774902344,40.96164079758859,0.0096897546897546,0.9770861767026078,0.0292691157198327,0.7230503387451171,0.020480820398794296,0.2944745123386383,3.408756345510483,3.703230857849121
0.0104076479076479,100.0,5.0,1.0,0.5,0.001,0.0,0.8459111426272358,0.0320160096155435,1276.219482421875,45.85996235034776,0.2980715148150921,3.4523707926273346,3.7504423074424262,0.0558008930578616,1276.219482421875,45.85996235034776,0.0104076479076479,0.8459111426272358,0.0320160096155435,0.6381097412109376,0.022929981175173877,0.2980715148150921,3.4523707926273346,3.7504423074424262
0.0111255411255411,100.0,5.0,1.0,0.5,0.001,0.0,0.8132977317720553,0.0201470855114471,1228.8014373779297,34.035477289178296,0.3049737587571144,3.646701961755753,3.951675720512867,0.0194713171607482,1228.8014373779297,34.035477289178296,0.0111255411255411,0.8132977317720553,0.0201470855114471,0.6144007186889648,0.017017738644589147,0.3049737587571144,3.646701961755753,3.951675720512867
0.0118434343434343,100.0,5.0,1.0,0.5,0.001,0.0,0.8026930875072746,0.0277437159120554,1212.1097869873047,41.86493557603735,0.3165234550833702,3.782957643270493,4.099481098353863,0.0494728818644341,1212.1097869873047,41.86493557603735,0.0118434343434343,0.8026930875072746,0.0277437159120554,0.6060548934936524,0.020932467788018674,0.3165234550833702,3.782957643270493,4.099481098353863
0.012561,100.0,5.0,1.0,0.5,0.001,0.0,0.7813648092808161,0.0153578252652515,1160.975112915039,24.619368661123893,0.3252322040498256,3.944380521774292,4.269612725824118,0.0508774755049225,1160.975112915039,24.619368661123893,0.012561,0.7813648092808161,0.0153578252652515,0.5804875564575195,0.012309684330561947,0.3252322040498256,3.944380521774292,4.269612725824118
0.013279,100.0,5.0,1.0,0.5,0.001,0.0,0.7589023285094546,0.0281024610518989,1123.1499786376953,41.22672413827258,0.3379835821688175,4.179548740386963,4.51753232255578,0.0273939983234472,1123.1499786376953,41.22672413827258,0.013279,0.7589023285094546,0.0281024610518989,0.5615749893188476,0.02061336206913629,0.3379835821688175,4.179548740386963,4.51753232255578
0.013997,100.0,5.0,1.0,0.5,0.001,0.0,0.657196812774598,0.0185274909094384,1011.4453506469728,31.00557695288812,0.3247578963637352,4.072935581207275,4.397693477571011,0.040680550688174,1011.4453506469728,31.00557695288812,0.013997,0.657196812774598,0.0185274909094384,0.5057226753234864,0.01550278847644406,0.3247578963637352,4.072935581207275,4.397693477571011
0.014715,100.0,5.0,1.0,0.5,0.001,0.0,0.5931652439355238,0.0180055360441424,900.7206573486328,23.622913421962867,0.330600593239069,4.184407711029053,4.515008304268122,0.0470753396370891,900.7206573486328,23.622913421962867,0.014715,0.5931652439355238,0.0180055360441424,0.4503603286743164,0.011811456710981433,0.330600593239069,4.184407711029053,4.515008304268122
0.015433,100.0,5.0,1.0,0.5,0.001,0.0,0.6055162590801453,0.0108454203630815,915.5190963745116,25.571991528482588,0.345232080668211,4.372316837310791,4.717548917979002,0.0359125180795209,915.5190963745116,25.571991528482588,0.015433,0.6055162590801453,0.0108454203630815,0.4577595481872558,0.012785995764241293,0.345232080668211,4.372316837310791,4.717548917979002
0.016151,100.0,5.0,1.0,0.5,0.001,0.0,0.5351104005280433,0.0123446454533272,827.3206176757812,23.024303728036124,0.3455935530364513,4.422385096549988,4.767978649586439,0.0504034841625027,827.3206176757812,23.024303728036124,0.016151,0.5351104005280433,0.0123446454533272,0.4136603088378906,0.011512151864018062,0.3455935530364513,4.422385096549988,4.767978649586439
0.016869,100.0,5.0,1.0,0.5,0.001,0.0,0.490388157903196,0.0162849847793301,750.2984619140625,26.79119472314482,0.3446977101266384,4.530103147029877,4.874800857156515,0.0356200334122335,750.2984619140625,26.79119472314482,0.016869,0.490388157903196,0.0162849847793301,0.37514923095703123,0.01339559736157241,0.3446977101266384,4.530103147029877,4.874800857156515
0.01758658008658,100.0,5.0,1.0,0.5,0.001,0.0,0.4726349672689426,0.0125772687505785,727.9975357055664,21.972232413183875,0.3440929390490055,4.536032676696777,4.880125615745783,0.0086687301028007,727.9975357055664,21.972232413183875,0.01758658008658,0.4726349672689426,0.0125772687505785,0.3639987678527832,0.010986116206591937,0.3440929390490055,4.536032676696777,4.880125615745783
0.0183044733044733,100.0,5.0,1.0,0.5,0.001,0.0,0.4353643459165167,0.0129148798102933,663.2242736816406,26.902647527668865,0.3594307936728,4.751642286777496,5.111073080450296,0.0324486030088451,663.2242736816406,26.902647527668865,0.0183044733044733,0.4353643459165167,0.0129148798102933,0.3316121368408203,0.013451323763834433,0.3594307936728,4.751642286777496,5.111073080450296
0.0190223665223665,100.0,5.0,1.0,0.5,0.001,0.0,0.451729524075721,0.0203402549355094,679.9867553710938,33.15532658448866,0.3768868744373321,4.963222324848175,5.340109199285507,0.0366650357607374,679.9867553710938,33.15532658448866,0.0190223665223665,0.451729524075721,0.0203402549355094,0.3399933776855469,0.016577663292244332,0.3768868744373321,4.963222324848175,5.340109199285507
