alpha,test_error_mean,test_error_std
0.0229762323668011,0.444196750164032,0.012256834849025459
0.026089827979025,0.44010176467895507,0.011049111231342145
0.0296253586361986,0.42198938512802125,0.01188802597388394
0.0336400023422533,0.42256326246261594,0.011083116440853231
0.0381986855073569,0.41760666847229005,0.011902591006089891
0.0433751329635674,0.4068641891479492,0.010228925559970393
0.0492530602720557,0.39821169710159304,0.011940698419309633
0.0559275276043612,0.38184007501602174,0.012525253580769953
0.0635064770931854,0.3658355903625488,0.010150456221484874
0.0721124785153704,0.3506298913955688,0.009594069917360023
0.0818847115389395,0.33336950731277465,0.010679243952065121
0.0929812165918853,0.3188002452850342,0.01149042173931358
0.1055814507546478,0.3025087900161743,0.009621896146749112
0.1198891900111898,0.28155106592178347,0.008156046578243764
0.1361358247950238,0.26051194977760317,0.009265125299431048
0.1545841021270696,0.2404022469520569,0.007238167928692854
0.1755323748646783,0.2264014024734497,0.007921484307975962
0.199319426782364,0.21171334719657894,0.0069864518948971
0.2263299515173629,0.2038024489879608,0.006994122812322597
0.2570007739876978,0.19155553126335145,0.0056704803248398316
0.2918279148979923,0.17973710346221924,0.006450486320359467
0.3313746125830208,0.1690683832168579,0.005680208677667296
0.376280431921431,0.16098327708244323,0.0046766003527205936
0.4272716076326043,0.149986004114151,0.0044298820767736695
0.4851727892325519,0.1404920256137848,0.004699091530628366
0.5509203775929342,0.13284769248962403,0.0037186650858723118
0.6255776687873186,0.12304502773284912,0.004747514096504565
0.7103520501369737,0.11668324148654938,0.004041662622183433
0.8066145265574577,0.11278796207904816,0.003715293810080536
0.9159218929938404,0.1066097149848938,0.0033746288865179647
1.040041911525953,0.10356329739093781,0.0030388780281504013
1.180981900317816,0.09706244730949402,0.0028540143312192883
1.3410211967630674,0.09581364691257475,0.002563121552036861
1.5227480198332368,0.0931710661649704,0.0026234419865299313
1.7291013277814182,0.09143526351451874,0.00275472746567899
1.9634183481406788,0.08904686403274537,0.002633999691431861
2.229488548691227,0.08612992870807648,0.002813434947399347
2.5316149222362134,0.08398299419879914,0.002288899626542931
2.8746835763078353,0.08404406595230103,0.002210321391098032
3.264242753236133,0.0816552906036377,0.0024258922054172832
3.7065925585242874,0.08069223988056183,0.0023334852917872915
4.208886848653364,0.07951409614086151,0.002437459229053491
4.77924892608646,0.08122901725769043,0.002379605619803805
5.426902912537704,0.07814811944961547,0.00222037324920709
6.162322925126791,0.07990909814834594,0.0022582886441312013
6.997402467954952,0.07903786969184876,0.00219104342662633
7.945646778570041,0.0773565353155136,0.002239462818371763
9.02239124002421,0.07832745492458343,0.002266732832132849
10.245049390770374,0.07829089188575744,0.002095987889862755
11.633394543312075,0.07750629138946533,0.0019655201841768275
13.209879566055148,0.07578132903575897,0.0025331722268335214
15.000000000000004,0.07592386257648467,0.002475303809521439
20.0,0.07489287948608399,0.0019915216783933883
40.0,0.07559605574607849,0.002237080686462658
