alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test
1.2040900962571233,1.2944739582116596,1.3587036782844677,0.6127130087564491,0.1395335697825834,1.1574000092247396,1.2704802799458563,0.09581930204255291
1.282442469769992,1.287635025649671,1.3561511005018951,0.5761614118379406,0.1521762832232389,1.2415410083980452,1.3645519875491474,0.09570398868281167
1.3658933773993558,1.279826189961121,1.3546155985561632,0.5297201967101662,0.1654889793800045,1.3500061829829335,1.4873232322215864,0.0932634772800172
1.4547745902067863,1.2713710044362885,1.3521007181281035,0.4891118673483612,0.1811509638524357,1.462012382850436,1.614587980230684,0.09196264517892103
1.54943946821154,1.2635609243221184,1.350164436942967,0.4495052368136304,0.1965641648220072,1.5745649151722274,1.7413155625082877,0.0907055524299284
1.650264365224037,1.2553188154605304,1.347461212115595,0.4158799272434663,0.2129157868842731,1.723655530648373,1.9098997606935944,0.09029025922848419
1.7576501250944516,1.2507309577007817,1.34659557857026,0.3857611456475461,0.2329059713409581,1.852313922112716,2.056799478409521,0.0894122598171372
1.8720236753249755,1.2439905380261895,1.3440933930662806,0.3613985796590998,0.250284275956168,1.9760581654788143,2.195692031319284,0.08865783090922534
1.9938397243813872,1.238475113151042,1.3423323635456776,0.3378123826254876,0.2738146853124939,2.171278579230065,2.416643161198885,0.08729938550038274
2.123582569451816,1.2339959269943597,1.341066966454871,0.3153805379983498,0.2956444365264411,2.317377129307548,2.587068536786895,0.08649550056391966
2.261768021839738,1.2287620548542773,1.3397492327215437,0.290673821739899,0.3176980363432563,2.494039616054444,2.7822629007137945,0.08562567859318893
2.408945457645844,1.221544453020024,1.3366712441791084,0.2724400542009614,0.3432414561948487,2.6545624445707237,2.9696323785522276,0.08586189247186887
2.565700001891586,1.215671448514536,1.3343785855829005,0.2543521773302935,0.3703604338793086,2.9030135503900043,3.2529936701537028,0.08401472706879409
2.732654854767688,1.216505492898578,1.336250085488952,0.234737223390265,0.3979863720674239,3.09744230872788,3.4701755657732947,0.08353247968073045
2.910473769255951,1.213311839390961,1.3353337708342616,0.2195721769945455,0.4300715646762766,3.366514357262173,3.773337738291362,0.08268149819267463
3.09986368997452,1.2072093409168447,1.3326934962214736,0.2053130190762726,0.4607141196802614,3.583725194653554,4.025481951200502,0.08281400445331118
3.3015775637376668,1.2043181866885386,1.3319246770048108,0.1921579518595398,0.4935193511937397,3.811759069264365,4.282264191157775,0.08245260208605443
3.5164173330039383,1.2013343156796894,1.3314079190906043,0.1757793200412853,0.5309391556851765,4.094694656645938,4.604874291282272,0.08158843550331629
3.745237124113504,1.198809041880964,1.330522073029657,0.1657144701297346,0.5706260047523494,4.4295281318433375,4.986655660644754,0.08062170886930166
3.988946642990024,1.1956207006326456,1.3292664920959565,0.1560945812831267,0.6112552728704542,4.636222695988988,5.223854176300515,0.08078363215686798
4.248514791807115,1.1928267856828658,1.32830508674591,0.1454700831548826,0.6611651519834343,5.050578106084949,5.695604961718988,0.08042839006056376
4.5249735209980395,1.1918173106179455,1.3283050103648415,0.1369044481714669,0.7043790309808602,5.3803458475459855,6.071069820831783,0.07973032787951394
4.819421931922742,1.1871783114645604,1.326461312855602,0.1258242327014986,0.7584974152705076,5.8545016710486095,6.611045491822898,0.07900364400600933
5.13303064650309,1.1845184934277977,1.3252781009835148,0.1194687076476418,0.8069500465486408,6.22658790453365,7.032996964877146,0.07916761112405293
5.467046461198349,1.1844077334516756,1.325730488717631,0.1117996093935217,0.8620028065935432,6.546672905658149,7.400956692792325,0.07862312718113841
5.82279730382346,1.182176516774022,1.3250764060766476,0.1032372572736394,0.9287628582972548,7.031009766370039,7.947680365279172,0.07827803582450547
6.201697512916677,1.1815143750107966,1.324971603519096,0.0974486880750777,0.992368029571209,7.489887757092021,8.467123508549662,0.07845337054873625
6.605253460645456,1.1779823111323144,1.3232595228506063,0.0923246002197924,1.059365298275648,8.009448965011934,9.065121246374666,0.07781344700704597
7.03506954160519,1.1776118844753247,1.3235056731455703,0.0859948272517593,1.1365630518976115,8.60248765026983,9.732782376474855,0.07775557946701545
7.492854551320239,1.173423364861784,1.3215583760035634,0.0796105066634355,1.2118153953870372,9.142099399106607,10.365747538532492,0.07741823304952355
7.980428479805802,1.1746616643174077,1.322437920760059,0.076094099286517,1.2988034433079128,9.85121810421939,11.156370223106071,0.0771113220022271
