alpha,test_error_mean,test_error_std
0.022976,0.44937334060668943,0.010826610298759441
0.02609,0.4336444902420044,0.012155306461394195
0.029625,0.4367531280517578,0.011275335931323172
0.03364,0.42889157962799074,0.009459318954108405
0.038199,0.41529413509368895,0.010329848239625109
0.043375,0.4067994689941406,0.010560035713607006
0.049253,0.3964203786849976,0.011703332820455985
0.055928,0.3786363191604614,0.013296747828600401
0.063506,0.3694003715515137,0.011879029917422387
0.072112,0.34396826171875,0.009997455101254311
0.081885,0.33920786952972415,0.01065724166661418
0.092981,0.31543444442749025,0.009008282809157964
0.105581,0.3004085445404053,0.00880624316325329
0.119889,0.27128450012207034,0.009044419588367329
0.136136,0.2578247919082642,0.009557218914504074
0.154584,0.24221008729934693,0.008258623717891952
0.175532,0.2244428687095642,0.006380298920852604
0.199319,0.21319580078125,0.006421723330466502
0.22633,0.20088417339324952,0.00552311515769529
0.257001,0.19022108125686646,0.005478293283138392
0.291828,0.18103196287155152,0.006448544283375976
0.331375,0.17085213899612428,0.005091423400271515
0.37628,0.16084734869003295,0.0057532825623182356
0.427272,0.15179284858703612,0.004661535813870084
0.485173,0.14033434343338014,0.004968632773098692
0.55092,0.13110841131210327,0.004073225861119546
0.625578,0.12301097536087036,0.004732625322166865
0.710352,0.11707370233535766,0.004015339731686828
0.806615,0.11485016775131225,0.003483746308407259
0.915922,0.10504186415672302,0.0028478888877858342
1.040042,0.10141824030876159,0.0030139525682456054
1.180982,0.09754510974884031,0.0036488827620391787
1.341021,0.09664027881622314,0.0029906117957977565
1.522748,0.0942247884273529,0.0028822257338580706
1.729101,0.0909132685661316,0.0025255482677582312
1.963418,0.08851260113716125,0.0027555977488505595
2.229489,0.08580987501144409,0.003117402441840863
2.531615,0.0855168879032135,0.002472649427468522
2.874684,0.08256894302368165,0.002749583621663963
3.264243,0.08268190002441406,0.002536702441269715
3.706593,0.0813238685131073,0.002680892351747253
4.208887,0.08077228164672852,0.0022842575195325906
4.779249,0.08037737560272216,0.0021179511470029726
5.426903,0.07874447917938232,0.0019457765715987685
6.162323,0.07704060363769531,0.0020947228081085677
6.997402,0.07670892810821534,0.002195923689432681
7.945647,0.0766418957710266,0.002210516130561183
9.022391,0.07773096251487732,0.0022908429878003614
10.245049,0.07729893469810487,0.0024566964471433713
11.633395,0.07790339684486389,0.0025208611768744098
13.20988,0.07607654404640198,0.002194994908029054
15.0,0.07729244804382324,0.0019483519925098225
20.0,0.0770508222579956,0.002348033593949595
40.0,0.07752064347267151,0.0014437871492988667
