alpha,rank
0.02,0.08130781557009437
0.0213014370561874,0.19116442586442572
0.0226875610329358,0.13472085944156653
0.0241638826650747,0.25298950626346417
0.0257362712811595,0.09917131049724892
0.0274109781378292,0.1315244042458198
0.029194661272575,0.16764652443135086
0.0310944119737236,0.16849474908407036
0.0331177829728718,0.17824915392209173
0.0352728184718553,0.18441831695922828
0.0375680861236276,0.19255609762231551
0.0400127110941943,0.20134339153386693
0.0426164123410197,0.20915109956835387
0.0453895412521382,0.21723983712755035
0.0483431227995823,0.22543872085767946
0.0514888993707423,0.23518307492000856
0.0548393774519119,0.24436258720935022
0.0584078773496204,0.254566603387716
0.0622085861474229,0.26539815393753297
0.0662566141086874,0.27469338842331026
0.0705680547496154,0.2860286408568369
0.0751600488213262,0.2968156230284894
0.080050852455373,0.3090207975841244
0.0852599097436139,0.3206826276885357
0.090807930040991,0.333588768878856
0.0967169702985423,0.3464680797512687
0.1030105227539777,0.35988783732402174
0.1097136083284412,0.3728212971332103
0.116852876100775,0.3876866394988663
0.1244567092547566,0.40072360899469406
0.1325553379205213,0.4154938196502346
0.1411809593587824,0.4301053131981185
0.1503678659656633,0.4449486088349689
0.1601525816070407,0.45960919018723023
0.1705740068244154,0.4748486368129854
0.181673573489599,0.4897354351667017
0.1934954095230673,0.5047942538081798
0.2060865143308419,0.5191143236082204
0.2194969456573755,0.5327350446071616
0.2337800185972996,0.5462167083150902
0.2489925175572358,0.557685612842475
0.2651949220103559,0.568661789225021
0.2824516469412074,0.5788735550918104
0.300831298936731,0.5894048298813994
0.3204069489415949,0.5985682594639441
0.3412564227622232,0.6064172178015477
0.3634626104744601,0.6141614697313573
0.3871137959649653,0.6211379035103953
0.4123040079164758,0.6275087656152403
0.4391333936323318,0.6338767601697235
0.467708617186456,0.6386272499392032
0.498143283481689,0.6438925364651578
0.530558389902388,0.6490766745935451
0.5650828073568951,0.6527217861405636
0.6018537926223309,0.6570960351257219
0.641017534028615,0.6612986998431996
0.6827297326511534,0.6647806671348999
0.7271562213228127,0.6678561454275781
0.7744736239261518,0.6715275373776773
0.8248700575870174,0.674069055799297
0.8785458805611797,0.6774098421526965
0.9357144887873392,0.6796309518512481
0.9966031642733082,0.682721079128257
1.0614539786882573,0.6851378287124403
1.1305247557533848,0.6875229183847463
1.2040900962571233,0.6899095997977203
1.282442469769992,0.6915708707250513
1.3658933773993558,0.6937760548160471
1.4547745902067863,0.6956579780526502
1.54943946821154,0.6973905454369573
1.650264365224037,0.6996988938935649
1.7576501250944516,0.701131405209299
1.8720236753249755,0.702495238608828
1.9938397243813872,0.7046065577319989
2.123582569451816,0.7058380657106105
2.261768021839738,0.7073638569228222
2.408945457645844,0.708431052325297
2.565700001891586,0.7103138335646139
2.732654854767688,0.711443775909471
2.910473769255951,0.7130110522771365
3.09986368997452,0.7140378674747527
3.3015775637376668,0.7150153484219446
3.5164173330039383,0.7161856057918341
3.745237124113504,0.717506476133497
3.988946642990024,0.7179945337584077
4.248514791807115,0.7193587434315327
4.5249735209980395,0.7202838031502765
4.819421931922742,0.7215684864688905
5.13303064650309,0.7224063070355817
5.467046461198349,0.7229420062981686
5.82279730382346,0.7238422732842988
6.201697512916677,0.724614360831959
6.605253460645456,0.7254469457354367
7.03506954160519,0.7262992550764624
7.492854551320239,0.7269726183924803
7.980428479805802,0.7278391730600096
8.499729747199467,0.7280742743692812
9.052822910228684,0.7287767038742687
9.64190687015242,0.7297560759847166
10.269323614808677,0.7303334039696361
10.937567529523342,0.7314062343150405
11.64929531389708,0.731954767288375
12.407336543895918,0.7318864903638269
13.214704921236688,0.7325845125244352
14.07461025479072,0.7332037112926679
14.990471221639778,0.73413923713111
15.965928958517488,0.7344799120930158
17.004861537671072,0.7347768268746476
18.11139938469418,0.735123174827861
19.2899416996268,0.7356265723869467
20.545173946606333,0.7363304264584369
21.8820864816029,0.7366751049804919
23.30599439229577,0.7372891345761428
24.822558628967354,0.7377185051432383
26.43780851042356,0.738029113855291
28.158165694416276,0.7380211314692717
29.990469707865316,0.7387101133416869
31.94200513837954,0.7390531980369335
34.02053059518046,0.7392893125731501
36.23430955456687,0.7396005505868742
38.59214321255092,0.7397743554334961
41.10340547527635,0.7400853369743126
43.778080226327575,0.7406389118150247
46.62680101909216,0.7409726281740499
49.66089335197852,0.7412121451380587
52.89241969456052,0.7412791258669733
56.33422744365657,0.7419198018063504
60.0,0.7419186837797311
