alpha,q,m,sigma,q_hat,m_hat,sigma_hat
0.020000000000000004,0.2022647579701262,0.1235905997099272,13.025795103742023,0.000131699892339,0.0024199008896397,0.0030453459627299
0.021301437056187495,0.191903880925272,0.141108989138706,14.047151473759008,0.0005309752377506,0.0053275170098253,0.0076521036833451
0.022687561032935878,0.2906420092044949,0.1952609213845525,17.01994149438149,0.0001536569750067,0.0028960767402193,0.0037233538769223
0.024163882665074785,0.4283419309153999,0.2629959050889262,20.167669707624356,0.0002536047196932,0.0040351450068977,0.0055770094082025
0.02573627128115953,0.347069410812668,0.2453610842659872,18.6596745562324,0.0002283571978054,0.0039752649272009,0.0053040860354994
0.027410978137829264,0.2472047276792387,0.2060851250399537,16.250099038044826,0.0002198181197368,0.004075460218246,0.0054942474780638
0.029194661272575077,0.2421755238352325,0.2126734250665162,16.013965911891297,0.0002428504200214,0.0044754965008082,0.0062264529494963
0.031094411973723635,0.2644354126993706,0.2324144050434185,16.51383814502083,0.0002501782979245,0.0047216001727134,0.00642298304324
0.033117782972871816,0.2618592100458904,0.2405320560329889,16.319135924495356,0.0002534603041199,0.0049565225011388,0.0066178481945727
0.03527281847185535,0.2821919159889193,0.2622468309786292,16.66276104747627,0.0002587380288129,0.0051553831992092,0.0069996296341881
0.03756808612362769,0.2970444715705778,0.2799381695622149,16.825800785942967,0.0002747999578067,0.0055699740482345,0.0074365917416004
0.040012711094194305,0.3102743892630855,0.2974456363023272,16.960286127557076,0.0002796171105904,0.0058359565893644,0.0077615937947487
0.042616412341019747,0.3251510637507396,0.3149354074196053,17.06021140094142,0.0002926386178676,0.0061807901089723,0.0082659062014303
0.045389541252138205,0.3382811869454974,0.3314968797374667,17.085997003374214,0.0003061359400408,0.0066478846807735,0.008818168866132
0.048343122799582354,0.3531430300099604,0.3532373892198469,17.077381840088645,0.0003181476078673,0.0071172880770962,0.0092684045496843
0.0514888993707423,0.3775538443053368,0.3783213446466342,17.184982226820924,0.0003328167636459,0.0075413245499971,0.0098495276446556
0.054839377451911926,0.3927586065011966,0.3996365807196195,17.0701615534363,0.000345864289613,0.0080733220051812,0.0103876290901477
0.058407877349620475,0.4178641039919449,0.4268113200638432,17.045641950908525,0.0003673535348809,0.0087030304318431,0.0111689931456103
0.06220858614742299,0.4321184889259432,0.4470677428535214,16.84301119984124,0.000389748888116,0.0093576793186949,0.0120433706760455
0.0662566141086874,0.4609782694722634,0.4792092025414382,16.61094508319438,0.0004122552290239,0.010096548496986,0.0130121033691692
0.0705680547496154,0.4857803418148516,0.5042951763257405,16.496200104439527,0.0004322120931552,0.0107570780576726,0.0136106977919431
0.07516004882132628,0.5110857873100926,0.5341383627145868,16.13502098548846,0.0004611922701005,0.0118273951941636,0.0148563961749411
0.080050852455373,0.5329814041644124,0.5598580377021732,15.783829446805496,0.0004949163149498,0.0127377483716525,0.0160453746402685
0.08525990974361398,0.5586568186326718,0.5845733916025154,15.456191699674331,0.0005321017892225,0.0139047638819294,0.0172759097018229
0.09080793004099101,0.5996604791749632,0.6195353888332551,15.191421280638297,0.0005776144801337,0.0152552418107431,0.0188290346452617
0.09671697029854237,0.6188203619290084,0.6456418802378548,14.444631218949224,0.0006316527365675,0.0165988653513853,0.0203369751498507
0.10301052275397772,0.6546136533566205,0.6738712288215587,14.214667086340114,0.0006947246560538,0.0182144648948951,0.0222521146096695
0.10971360832844128,0.6943458036032837,0.7079258218033736,13.536727980461292,0.0007777605925411,0.0201040316257843,0.0243398801590634
0.116852876100775,0.7282763650210886,0.7357825108758597,12.898694297019242,0.0008781542037899,0.0222068277309465,0.0267794816490146
0.12445670925475669,0.774692339924864,0.767732745616525,12.382447585964956,0.0009920342576424,0.0249053001361528,0.0297495676100241
0.13255533792052132,0.8085368240791673,0.7956529361352734,11.662523595907532,0.0011323399443887,0.0278102619712874,0.0326951601302197
0.1411809593587824,0.8497076908055097,0.8231763641390372,11.136408249909223,0.0012889526202102,0.0302616372191486,0.0354609620646479
0.15036786596566334,0.8898104684558736,0.8528081635602557,10.152005685368426,0.0015785656267005,0.0353308430760427,0.0413107652105781
0.16015258160704074,0.921159055995687,0.8741707979444666,9.60635713835771,0.0018285871291598,0.0401006774152604,0.0461461424843762
0.17057400682441545,0.9748588137526448,0.9051548276777006,8.988055886973466,0.0021578352348003,0.0440068709428737,0.0502980561032436
0.18167357348959903,1.0304882524731502,0.9406716557424316,8.215712478774625,0.002542293548776,0.0494997085203657,0.0555950562722882
0.1934954095230673,1.071488160738403,0.9635147342632756,7.5941978717131775,0.0031142803440893,0.0567242590329496,0.063137115972841
0.20608651433084194,1.1092357558703323,0.9896181206319066,6.771394159959357,0.0038670207123753,0.0656103630702648,0.0725052819412002
0.21949694565737557,1.149501638788185,1.0155821795494488,6.2058640562325795,0.0046389435091412,0.0743012498568154,0.0808354872494869
0.23378001859729963,1.170165094174226,1.029500119511347,5.5486817914242295,0.0056988114996215,0.0845647223578554,0.0916621349067447
0.24899251755723587,1.191765849768297,1.0457147789535324,4.988872088213517,0.0069009599976922,0.097008701754301,0.1043845352832333
0.26519492201035594,1.2093210686562468,1.0604505556969543,4.505492629124744,0.0084327157863999,0.111998243321652,0.1200795283522896
0.28245164694120745,1.2280744511631043,1.0771805551515674,4.026598195676627,0.0101839169675048,0.1281372551728922,0.1362112186421852
0.300831298936731,1.234248973416098,1.090160997984826,3.502361128981053,0.0125365531992912,0.1514599279348912,0.1597296202083141
0.32040694894159494,1.2303313707339767,1.0915087061388635,3.198836817764378,0.0148405678184924,0.165954435887618,0.1764931734163379
0.34125642276222323,1.2307870682925617,1.0975988556884226,2.88710462424225,0.0173031147065088,0.1893700133831065,0.1994443953546378
0.36346261047446016,1.222201077659963,1.1042592679997203,2.5270340015136163,0.020931550169782,0.2169769665693895,0.2301852886422161
0.3871137959649653,1.2031269231211492,1.1028247133214637,2.234130330868775,0.0246196843727338,0.2448643494060939,0.2595899894103105
0.4123040079164758,1.196312573373859,1.103779349875352,2.050370086756018,0.0274610761393901,0.2702190094007346,0.2869866765828724
0.4391333936323318,1.1861291486718692,1.1066998642306556,1.8098539677066932,0.0319663316385926,0.3045896688246641,0.3227595577019354
0.467708617186456,1.1765368475072406,1.1066988359786991,1.65577898388332,0.037335276832127,0.3475509135545677,0.3694751926600603
0.498143283481689,1.1664007577850857,1.1090562669574962,1.4847232386791032,0.0417162693836402,0.3870929902155278,0.4124169699597477
0.530558389902388,1.1433936137487206,1.1027294718467533,1.3266440563041555,0.0479705091181406,0.42910923819978,0.4594164910473978
0.5650828073568951,1.13364413563079,1.1018255882116346,1.2250969776264933,0.0530747723478295,0.4702174451167666,0.5056405189667773
0.6018537926223309,1.1170517785823495,1.0986461444268532,1.0946500158273391,0.0590034627270167,0.5119522822982218,0.5523078991062776
0.641017534028615,1.1056483282191978,1.0970145133615674,1.0055616501177431,0.0662442938585459,0.5687093866104591,0.6136273381945916
0.6827297326511534,1.0879804966248392,1.091946292747367,0.9077053493631088,0.0745402368814056,0.6231510416089987,0.6765929608421308
0.7271562213228127,1.0844991144297131,1.0951205581635974,0.8172676079970086,0.082531364915686,0.6885945348064881,0.7485672007205895
0.7744736239261518,1.0757391664777929,1.093081566469748,0.7670072209510692,0.0900775634331974,0.7522548342938093,0.819143942760687
0.8248700575870174,1.064660241275733,1.09011625896013,0.7020405249552922,0.0971788398786093,0.7858689746909882,0.8592456801759936
0.8785458805611797,1.0629119681211872,1.092324306007579,0.6380965169745021,0.1107487129307148,0.8905387285367122,0.9741262894412988
0.9357144887873392,1.0504076244979874,1.0889889013184044,0.5828879561225934,0.1202247781302247,0.9964421387308408,1.090265175923761
0.9966031642733082,1.0381458812868596,1.0849218874432565,0.5318574633104739,0.1316864116679361,1.0622877106990858,1.166390773003038
1.0614539786882573,1.0324340099393483,1.0831531355139483,0.5006429518102101,0.1437683991237203,1.1546726391954558,1.2728306923148711
1.1305247557533848,1.0240023245333334,1.0801088459193615,0.4691361976762189,0.1539245028622315,1.2375284024298852,1.369555651175518
1.2040900962571233,1.0160625784199009,1.0777439183957649,0.4301562099385593,0.1729818711840762,1.3440131693841468,1.4873492997012383
1.2824424697699919,1.0087266624186246,1.075660028500257,0.399316092716046,0.1839060704235277,1.432388719556344,1.589424860088989
1.3658933773993558,1.000823001320508,1.0735339018107628,0.362509631143726,0.2016818982322176,1.563440409729859,1.7441905243342328
1.4547745902067863,0.9958205061057888,1.072269361555897,0.3380141532625778,0.2137264986497067,1.7290874579663953,1.924068350084813
1.54943946821154,1.0010860326857416,1.0762343369735006,0.3192945213484248,0.2362763409003562,1.8252804824779592,2.0286878092140945
1.650264365224037,0.9886486993593854,1.0704083178009745,0.2947209461273998,0.254470409916684,1.9499478749570776,2.1757192913924195
1.7576501250944516,0.9840122128689196,1.070275977833625,0.2664565631409538,0.2744431138139075,2.066372286104198,2.3095020792775087
1.8720236753249757,0.9845299403255584,1.0709236452185518,0.2572786736587963,0.298298035760044,2.2451662334953384,2.516961629112174
1.9938397243813872,0.979895539854968,1.069073293083124,0.2402982814356575,0.319922095475128,2.3886657553476836,2.6709630578511994
2.123582569451816,0.9715967556469288,1.0656554612008953,0.2223786055819397,0.338358295168609,2.4979080668187983,2.8035546087023144
2.261768021839738,0.9687947154548464,1.0654971224362852,0.2014837683858711,0.3675437918214178,2.848201822039486,3.2019920616555906
2.408945457645844,0.96155722850085,1.062030782906472,0.1915527383663816,0.3972817527587736,3.0732513053555293,3.463768980893504
2.565700001891586,0.954810793298198,1.058414623965148,0.1805502555546217,0.4269919916450203,3.1834204935398884,3.588291690905553
2.732654854767688,0.9605495915630768,1.0628527921146649,0.1655337780431226,0.4608840350872999,3.5049387064759636,3.944353360367955
2.910473769255951,0.9543099848098302,1.060245236699188,0.1536018590291339,0.498887798633033,3.5928167407829203,4.066793908053685
3.0998636899745198,0.96249810318938,1.0647014178885703,0.1497675445171911,0.5339379039444551,3.9163612821786993,4.421449607319097
3.3015775637376668,0.9504361550028644,1.0583550109408602,0.1400542499183071,0.5751462534640238,4.23798253353693,4.783093268871903
3.5164173330039383,0.9482898760995871,1.0590209570989888,0.1219349645970004,0.6055044794282897,4.658346419879665,5.269731572506088
3.7452371241135043,0.947642475884386,1.0587476564546867,0.1174173525024964,0.6538561529492195,4.951611836064374,5.602174834109494
3.9889466429900238,0.9499538010579862,1.0604098067833692,0.1114875731457721,0.695541437797241,5.082408152252337,5.755643461434441
4.248514791807115,0.946798614157404,1.0595400878769052,0.1007860848676897,0.7528824971647531,5.569881452231967,6.305084961469975
4.5249735209980395,0.946464890335825,1.0593991902438644,0.0973832894557254,0.7843941261978475,5.704655956273596,6.471134901820471
4.819421931922742,0.941473483312412,1.0572395720820364,0.0890730681721246,0.840707691078113,6.430453474141492,7.280602881605763
5.13303064650309,0.9422242382592378,1.0575494411323767,0.0866297846791801,0.9195182186903164,6.729789400293558,7.62551418764351
5.467046461198349,0.9424105671370524,1.0577595499931596,0.0829710873798661,0.9621659339770054,7.403510215545852,8.380023075239253
5.82279730382346,0.9405989635631395,1.057724716779361,0.0730213553161608,1.0362302006008823,7.410213293679893,8.419106961378468
6.201697512916677,0.9348896871901214,1.0548595511193215,0.0681458874890857,1.1043121820617858,8.16932122000646,9.304846601331665
6.605253460645456,0.9347037882968068,1.0544052040729817,0.0681753223215826,1.2043071187638446,8.700272405721142,9.887522405920295
7.03506954160519,0.9376639828328942,1.0565484164318326,0.0625659699421802,1.2716508485377265,9.292763392829604,10.536540916899051
7.492854551320239,0.9381439436094569,1.0574191085319369,0.0564229668879697,1.3657408495116856,9.635626167536314,10.938301702597624
7.980428479805802,0.9322788505264205,1.054421000460826,0.0516649117364559,1.4307206291910513,10.009217832777276,11.401933458225688
8.499729747199467,0.9296831850471166,1.0527658035155911,0.0511154409335472,1.5686581044853012,12.578069795578864,14.29468445446369
9.052822910228684,0.9323064061969586,1.0545057884162312,0.047773954888401,1.680103066943251,13.320509931187717,15.12951528453496
9.64190687015242,0.9348095740758102,1.0564983097421434,0.0420975792236169,1.7210892398893871,13.912889692143892,15.783494998066582
10.269323614808677,0.9300775374017628,1.053357065397195,0.0441002619081259,1.9225530719671131,13.370529929227922,15.225754981262446
10.937567529523342,0.923844356309894,1.0500547982071056,0.0405380256030965,2.030623333981082,16.14843148080304,18.38921460094539
